aar,yrke_grovgruppe,yrke_fingruppe,yrkeskode,yrke,yrkesbetegnelse,isco_versjon,antall_arbeidssokere
2002,Serviceyrker og annet arbeid,"Yrker innen kunst, sport og kultur",3472,Sangere og musikere i underholdningsbransjen,*,ISCO-88,*
2002,Serviceyrker og annet arbeid,"Yrker innen kunst, sport og kultur",3473,"Klovner, tryllekunstnere, akrobater o.l.",*,ISCO-88,*
2002,Serviceyrker og annet arbeid,"Yrker innen kunst, sport og kultur",3474,Inspisienter m.fl.,"Inspisient, Påkleder, Rekvisitør, Scenograf, Sufflør",ISCO-88,131
2002,Serviceyrker og annet arbeid,"Yrker innen kunst, sport og kultur",3475,Idrettsutøvere og -trenere,"Idrettsinstruktør (øvrige), Idrettstrener, Idrettsutøver, Lærling (hestefaglært), Trener (hestesport)",ISCO-88,130
2002,Serviceyrker og annet arbeid,Annet arbeid,3480,Religiøse yrker,"Diakon, Menighetsarbeider, Misjonær, Predikant",ISCO-88,55
2002,Akademiske yrker,Journalister og informasjonsmedarbeidere,3491,Informasjonsmedarbeidere og journalister,"Informasjonsmedarbeider, Journalist",ISCO-88,517
2002,Serviceyrker og annet arbeid,"Yrker innen kunst, sport og kultur",3492,Programsekretærer og programmedarbeidere,Programmedarbeider (radio/fjernsyn),ISCO-88,48
2002,Akademiske yrker,Journalister og informasjonsmedarbeidere,3493,Bibliotekarer,Bibliotekar,ISCO-88,115
2002,Kontorarbeid,Andre funksjonærer,4111,"Stenografer, referenter o.l.",*,ISCO-88,*
2002,Kontorarbeid,Andre funksjonærer,4112,Dataregistrerere (puncheoperatører),Dataregistrerer,ISCO-88,143
2002,Kontorarbeid,Økonomi- og kontormedarbeidere,4113,Sekretærer,Sekretær,ISCO-88,1959
2002,Kontorarbeid,Økonomi- og kontormedarbeidere,4114,Kontormedarbeidere,"Kontormedarbeider, Kontormedarbeidere, Korrekturleser, Lærling (kontorfaglært)",ISCO-88,4590
2002,Kontorarbeid,Økonomi- og kontormedarbeidere,4121,Økonomimedarbeidere og revisjonsassistenter,"Lønnsmedarbeider, Regnskapsmedarbeider, Økonomimedarbeider, Økonomimedarbeidere og revisjonsassistenter",ISCO-88,1076
2002,Kontorarbeid,Økonomi- og kontormedarbeidere,4129,Andre tallbehandlere,Meteorologfullmektig,ISCO-88,5
2002,Kontorarbeid,Lager- og transportmedarbeidere,4131,Lagermedarbeidere og materialforvaltere,"Lagermedarbeider, Lagermedarbeidere og materialforvaltere, Lærling (materialadministrator), Lærling (terminalarbeid)",ISCO-88,2673
2002,Kontorarbeid,Lager- og transportmedarbeidere,4132,Logistikere,Logistikkmedarbeider,ISCO-88,118
2002,Kontorarbeid,Lager- og transportmedarbeidere,4133,Transportfunksjonærer,"Flygelederassistent, Fraktkonsulent (lufthavn), Havneinspektør, Togleder (jernbane), Trafikkontrollør (vegtrafikk)",ISCO-88,104
2002,Kontorarbeid,Økonomi- og kontormedarbeidere,4141,Bibliotek- og arkivmedarbeidere,"Arkivmedarbeider, Bibliotekfullmektig",ISCO-88,87
2002,Kontorarbeid,Andre funksjonærer,4142,Postbud og -sorterere,Postbud og sorterer,ISCO-88,1157
2002,Butikk- og salgsarbeid,Annet salgsarbeid,4211,Billettører og billettselgere,Billettør,ISCO-88,82
2002,Kontorarbeid,Andre funksjonærer,4212,Post- og bankkasserere,Postkasserer / bankkasserer,ISCO-88,539
2002,Serviceyrker og annet arbeid,Annet arbeid,4213,Bingoverter o.l.,Bingovert,ISCO-88,66
2002,Kontorarbeid,Økonomi- og kontormedarbeidere,4215,Inkassomedarbeidere,Inkassomedarbeider,ISCO-88,19
2002,Reiseliv og transport,"Reiseledere, guider og reisebyråmedarbeidere ",4221,Reisebyråmedarbeidere o.l.,"Lærling (reisefaglært), Reisebyråmedarbeider, Reisekoordinator, Turistinformasjonmedarbeider",ISCO-88,194
2002,Kontorarbeid,Resepsjonister og sentralbordoperatører,4222,Resepsjonister og opplysningsmedarbeidere,"Lærling (resepsjonist), Resepsjonist",ISCO-88,784
2002,Kontorarbeid,Resepsjonister og sentralbordoperatører,4223,Sentralbordoperatører,Sentralbordoperatør,ISCO-88,524
2002,Reiseliv og transport,Konduktører og kabinpersonale,5111,"Verter/vertinner på fly, skip og tog","Kabinpersonale (sivil luftfart), Purser (sjø), Togvert/-vertinne",ISCO-88,91
2002,Reiseliv og transport,Konduktører og kabinpersonale,5112,Konduktører og billettører (ombord i transportmidler),"Konduktør (tog), Kontrollør/billettør (buss, sporvogn, t-bane, tog)",ISCO-88,26
2002,Reiseliv og transport,"Reiseledere, guider og reisebyråmedarbeidere ",5113,Reiseledere og guider,"Guide, Reiseleder",ISCO-88,148
2002,Serviceyrker og annet arbeid,Rengjøring,5121,Internatledere,Internatleder,ISCO-88,29
2002,Reiseliv og transport,Kokker,5122,Kokker,"Institusjonskokk, Kokk, Lærling (institusjonskokk), Lærling (kokk), Stuert",ISCO-88,1675
2002,Reiseliv og transport,"Hovmestere, servitører og hjelpepersonell",5123,"Hovmestere, servitører og barkeepere","Bartender, Hovmester, Lærling (servitør), Servitør",ISCO-88,2224
2002,Barne- og ungdomsarbeid,Barnehage- og skolefritidsassistenter,5131,Barne- og ungdomsarbeidere o.l.,"Barne- og ungdomsarbeider, Barnehageassistent, Fritidsklubbassistent, Lærling (barne- og ungdomsarbeider), Skoleassistent",ISCO-88,4667
2002,"Helse, pleie og omsorg",Omsorgs- og pleiearbeidere,5132,Omsorgsarbeidere og hjelpepleiere,"Barnepleier, Hjelpepleier, Lærling (omsorgsarbeider), Omsorgsarbeider",ISCO-88,1551
2002,"Helse, pleie og omsorg",Omsorgs- og pleiearbeidere,5133,Hjemmehjelpere,Hjemmehjelp,ISCO-88,601
2002,"Helse, pleie og omsorg",Omsorgs- og pleiearbeidere,5134,Tannlegesekretærer,Tannlegesekretær,ISCO-88,166
2002,"Helse, pleie og omsorg",Annet helsepersonell,5135,Legesekretærer,Legesekretær,ISCO-88,338
2002,Barne- og ungdomsarbeid,Barnehage- og skolefritidsassistenter,5136,"Dagmammaer, praktikanter o.l.","Au-pair, Barnepasser, Dagmamma/pappa",ISCO-88,561
