leverandor,jan,feb,mars,april,mai,juni,juli,aug,sep,okt,nov,des,total
Riksantikvaren - Direktoratet for kulturminneforvaltning,0,0,0,0,0,0,0,0,0,0,0,0,0
Samferdselsdepartementet,0,0,0,0,373,304,286,301,410,355,352,212,2593
Senter for internasjonalisering av høgre utdanning,0,0,0,0,0,0,0,0,0,28,14,7,49
Sjøfartsdirektoratet,0,0,0,0,0,0,0,0,0,78,104,118,300
Skattedirektoratet,0,0,0,0,0,0,0,0,0,0,0,0,0
Språkrådet,0,0,0,0,0,0,0,0,0,0,0,0,0
Statens arbeidsmiljøinstitutt,0,0,0,0,0,0,0,0,0,0,0,0,0
Statens helsetilsyn,0,0,0,0,0,0,0,0,0,0,0,0,0
Statens innkrevingssentral,0,0,0,0,0,0,0,0,0,16,4,5,25
Statens jernbanetilsyn,0,0,0,0,0,0,0,0,0,77,70,63,210
Statens kartverk,0,0,0,0,0,0,0,0,0,0,0,0,0
Statens legemiddelverk,0,0,0,0,0,0,0,0,0,13,48,26,87
Statens lånekasse for utdanning,0,0,0,0,0,0,0,0,0,0,0,0,0
Statens strålevern,0,0,0,0,0,0,0,0,0,0,0,0,0
Statsbygg,0,0,0,0,0,0,74,63,71,130,59,53,450
Statsministerens kontor,0,0,0,0,28,79,80,74,167,88,97,76,689
Toll- og avgiftsdirektoratet,0,0,0,0,0,0,0,0,0,44,29,10,83
Utdanningsdirektoratet,0,0,0,0,0,0,0,0,0,0,26,26,52
Utenriksdepartementet,0,0,0,0,714,477,268,603,570,545,564,369,4110
Utlendingsdirektoratet,0,0,0,0,0,0,0,0,0,0,0,0,0
Utlendingsnemnda,0,0,0,0,0,0,0,0,0,2,42,34,78
"Vox, nasjonalt fagorgan for kompetansepolitikk",0,0,0,0,23,13,3,6,23,18,15,2,103
