north,east,zone,longitude,latitude
6540616,312207,32,5.733916293031702,58.96386047319623
6540578,312220,32,5.734174215604288,58.963525460365176
6538979,310496,32,5.705616720220826,58.948429847771855
6540358,313889,32,5.763332343026293,58.96228126759281
6540304,313541,32,5.7573369526033265,58.96164575420417
6539034,310309,32,5.702324980872874,58.94884024924837
6540350,313361,32,5.754173620529148,58.961979818893596
6540436,313062,32,5.748910743349182,58.962620541465526
6539913,313000,32,5.748276435081726,58.95790414064866
6539963,313405,32,5.7552637159150075,58.95852903037293
6539020,311332,32,5.720087433402737,58.94916626571881
6538974,312718,32,5.744176218115548,58.9493617012027
6539186,312014,32,5.731780463418456,58.950954312928175
6538373,312038,32,5.732886848529919,58.94367538986088
6538754,310485,32,5.705618373888127,58.946407663368284
6539048,311936,32,5.730544146083342,58.94968277163548
6538879,311967,32,5.731225545983383,58.94818110267132
6538717,312125,32,5.734104478087653,58.946797875841995
6538815,312199,32,5.735305339215227,58.94770898575768
6539481,313486,32,5.757075763619429,58.95424253547416
6538683,310389,32,5.7040135494900746,58.94572863276011
6538758,310392,32,5.704001401232526,58.946402399157066
6537400,311479,32,5.724016459352685,58.93470596841732
6537592,311776,32,5.72900475625962,58.93655791947402
6539568,312134,32,5.733538674160237,58.95443198892536
6538445,311043,32,5.715563331916536,58.94388352477643
6538518,311342,32,5.72068851637836,58.94466973291438
6538584,311405,32,5.721725341893491,58.94528921166374
6538796,311572,32,5.724442415565922,58.94726345364206
6538504,312899,32,5.7477139885642945,58.94522661873737
6538115,312521,32,5.741484840888831,58.94157361426276
6539137,312130,32,5.7338349570309575,58.95056583945212
6539027,312271,32,5.736374926443766,58.949641349524065
6538959,312737,32,5.744518592835231,58.94923550994043
6538659,312554,32,5.741597059010577,58.94646565666511
6538889,312704,32,5.744005172342127,58.9485934553509
6537770,311873,32,5.730536187311261,58.93819645365349
6537567,311345,32,5.721550182610973,58.93614436778697
6538644,310995,32,5.714560804600535,58.945646589904264
6538276,311228,32,5.718916882554301,58.94244977599883
6538851,310355,32,5.703279828289119,58.947219855093024
6537655,311638,32,5.7265575483262,58.93706218565761
6538823,311190,32,5.7177914447978155,58.94733743644251
