nord;oest;breddegrad;lengdegrad;adresse;barnehagens_navn
6541579.90;304736.14;58.969108;5.606746;Storlomveien 11;Smiodden Barnepark
6539438.90;310400.50;58.952476;5.703406;Tjensvollv. 44 D;Solborg barnehage
6541175.35;304967.12;58.966137;5.609443;Traneveien 16b;Solheim barnehage
6541185.00;311666.00;58.968717;5.724036;Møllegata 66;Solvang Barnehage
6533353.20;310600.60;58.897982;5.712300;Godesetkroken 2;Soria Moria barnehage
6537832.00;312088.00;58.938845;5.734200;Skolevollen 19;Steinerbarnehagen Bukkene Bruse
6540851.40;313434.30;58.966406;5.755103;Johannesgate 34;Steinhagen barnehage
6540265.53;309720.79;58.959839;5.690766;Adjunkt Hauglands gate 50;Stokka åpen barnehage
6540603.00;309731.00;58.962645;5.690953;Christian Skredviksvei 27;Stokka barnehage avd. Chr. Skredingsvei
6541277.00;310607.00;58.969082;5.705580;Hageveien 14;Stokka barnehage avd. Stokkadalen
6540682.37;309730.85;58.971828;5.719896;Seehusens gate 4;Stokkatunet avd. Hertervigtunet
6541195.00;312907.00;58.969351;5.745579;Nedre Dalgate 68;Storhaug åpen barnehage
6540536.00;305974.00;58.960359;5.625791;Syftesokbakken 1;Sunde barnehage
6541034.00;305274.00;58.964507;5.613210;Sundelia 26;Sundelia barnehage
6543031.07;309754.86;58.984211;5.689237;Tastatunet 7;Tastarustå barnehage
6543496.00;309266.00;58.988382;5.680380;Gullfaksveien 25;Tastavarden barnehage avd. Gullfaks
6542702.40;310031.60;58.981493;5.694402;Stølsbrautene 3;Tastavarden barnehage avd. Smiene
6533200.70;311835.80;58.897191;5.733554;Gauselbakken 107;The British International School of Stavanger
6539149.95;310530.97;58.949978;5.706074;Magnus Karlsons gate 13;Tommeliten barnehage
6545075.00;312393.00;59.003920;5.733351;Brosmeveien 2 A;Tordenskjold Familiebarnehage
6542822.70;309510.60;58.982292;5.685482;Smietunet 80;Triade Barnehage avd. Smietunet
6542501.00;310568.00;58.980036;5.703845;Tarjei Vesaas vei 13;Triade Barnehage avd. Veden
6543685.00;309446.00;58.990152;5.683345;Eldfiskbakken 9;Trollberget Barnehage
6532716.00;312358.00;58.893095;5.743213;Forusmyra 5;Tusenfryd Barnehage AS
6537196.00;312262.00;58.933217;5.737772;Dalsetveien 7a;Tyrihans Barnehage
