tailid,coordsys,x,y,z
22583,utm33,962890,7930655,
22584,utm33,819889,7862849,
22585,utm33,770258,7848123,
22586,utm33,909781,7742377,
22587,utm33,820978,7677055,
22588,utm33,833272,7846196,
22589,utm33,947243,7917110,
22590,utm33,776572,7810145,
22591,utm33,849901,7905032,
22592,utm33,1010252,7841306,
22593,utm33,897389,7911108,
22594,utm33,877614,7802630,
22595,utm33,618185,7683012,
22596,utm33,702999,7727148,
22597,utm33,640103,7663561,
22598,utm33,1076674,7807011,
22599,utm33,995112,7842002,
22600,utm33,,,
22601,utm33,,,
22602,utm33,557554,7554390,
24184,utm33,360533,7287084,
24187,utm33,326683,7078797,
24188,utm33,315915,7110925,
24189,utm33,260156,6614728,
24192,utm33,-31277,6751513,
24193,utm33,175773,6787564,
25820,utm33,316741,7127459,
25821,utm33,331585,7153591,
25822,utm33,412922,7201770,
25823,utm33,232761,7001703,
25824,utm33,263260,7026329,
25826,utm33,443361,7417705,
25827,utm33,337541,7035861,
25828,utm33,260323,6651246,
25829,utm33,,,
25830,utm33,74666,6977017,
25831,utm33,261752,6998681,
25833,utm33,828,6777208,
25834,utm33,221325,6658982,
25837,utm33,,,
25838,utm33,254489,6596566,
25843,utm33,54631,6456590,
25844,utm33,,,
25845,utm33,,,
25847,utm33,310784,6598203,
25849,utm33,-26608,6779398,
25851,utm33,233124,6637247,
25852,utm33,432315,7149465,
25853,utm33,255869,6784031,
25856,utm33,46621,6464013,
25857,utm33,-31514,6751938,
25858,utm33,618185,7683012,
25859,utm33,179916,6902476,
25863,utm33,161806,6872780,
25865,utm33,776694,7809305,
25867,utm33,7628,6510645,
25868,utm33,257360,6692307,
25870,utm33,,,
25871,utm33,89400,6831987,
25872,utm33,33634,6471595,
25875,utm33,95209,6797040,
25876,utm33,540658,7588901,
25878,utm33,301193,6747996,
25879,utm33,,,
27008,utm33,242691,7052350,
27015,utm33,229777,6633187,
27016,utm33,311439,6569443,
27017,utm33,283260,6611428,
27019,utm33,209327,6762283,
27021,utm33,136520,6496840,
27022,utm33,-30624,6842173,
27025,utm33,255654,6640957,
40567,utm33,270264,7041641,
40582,utm33,652717,7730123,
40583,utm33,1056105,7842085,
40702,utm33,255885,6784291,
40703,utm33,62542,6810653,
40704,utm33,274228,6576576,
40705,utm33,89019,6466401,
40706,utm33,261957,6649713,
40722,utm33,266035,6650879,
25564,utm33,253097,7031182,
25565,utm33,278878,6652959,
25566,utm33,192396,6575530,
25570,utm33,226548,6564135,
25572,utm33,229585,6615923,
25573,utm33,10594,6933069,
25575,utm33,65587,6990093,
25576,utm33,,,
25577,utm33,278571,6578257,
21661,utm33,-41000,6626044,
21663,utm33,30273,6689029,
21664,utm33,17122,6714180,
21665,utm33,11685,6725526,
21666,utm33,44151,6721893,
21667,utm33,57513,6741862,
21668,utm33,-33226,6560461,
21672,utm33,-42447,6702045,
21674,utm33,-50171,6669331,
21675,utm33,-9920,6648868,
21678,utm33,104353,6624351,
21679,utm33,178152,6539133,
21680,utm33,160143,6565961,
21681,utm33,136595,6496705,
21683,utm33,166522,6523270,
21684,utm33,103800,6485579,
21685,utm33,129122,6502794,
21687,utm33,111608,6475668,
21691,utm33,123682,6532769,
21693,utm33,93258,6466832,
21694,utm33,85942,6464735,
21695,utm33,84710,6543656,
21696,utm33,81832,6516199,
21697,utm33,79836,6466442,
21698,utm33,74146,6587535,
40762,utm33,1011577,7921027,
40782,utm33,331564,7153545,
25999,utm33,222335,6609153,
26001,utm33,133835,6738611,
27183,utm33,260220,6650497,
27193,utm33,259491,6650150,
27204,utm33,260369,6649535,
21797,utm33,280951,6911790,
21798,utm33,304690,6783176,
21800,utm33,222365,6839614,
21801,utm33,243602,6797497,
21803,utm33,161672,6872798,
21806,utm33,146523,6879285,
21807,utm33,190029,6874590,
22828,utm33,,,
22829,utm33,125096,6484801,
22830,utm33,87240,6501411,
22831,utm33,111661,6475496,
22832,utm33,166015,6523202,
22833,utm33,147638,6514317,
22834,utm33,74300,6587521,
22835,utm33,145061,6528753,
