tailid,parentid,orgstructid,name_nb,name_nn,name_en,orgid,kommunenummer
26341,26375,76,"Ambassaden i Ghana (Elfenbenkysten, Burkina Faso, Gambia, Mali, Guinea, Liberia, Senegal, Sierra Leone)","Ambassaden i Ghana (Elfenbenkysten, Burkina Faso, Gambia, Mali, Guinea, Liberia, Senegal, Sierra Leone)","Royal Norwegian Embassy in Ghana (Ivory Coast, Burkina Faso, Gambia, Guinea, Liberia, Mali, Senegal, Sierra Leone)",,
26342,26375,76,"Ambassaden i De Forente Arabiske Emirater, Abu Dhabi (Qatar, Kuwait, Bahrain)","Ambassaden i De Forente Arabiske Emirater, Abu Dhabi (Qatar, Kuwait, Bahrain)","Royal Norwegian Embassy in the United Arab Emirates (Bahrain, Kuwait, Qatar)",,
26226,,66,Etne kommune,Etne kommune,Etne Municipality,959435375,1211
26230,,66,Evenes kommune,Evenes kommune,Evenes Municipality,940642140,1853
24225,26064,37,NAV Ullensvang ,NAV Ullensvang ,NAV Ullensvang ,,
24520,26064,37,NAV Modalen,NAV Modalen,NAV Modalen,,
24290,26064,37,NAV Sveio ,NAV Sveio ,NAV Sveio ,,
24387,26064,37,NAV Samnanger,NAV Samnanger,NAV Samnanger ,,
24454,26064,37,NAV Odda,NAV Odda,NAV Odda ,,
24518,26065,37,NAV Midsund ,NAV Midsund ,NAV Midsund ,,
24389,26065,37,NAV Sande (Møre og Romsdal),NAV Sande (Møre og Romsdal),NAV Sande (Møre og Romsdal),,
24178,26065,37,NAV Vanylven,NAV Vanylven,NAV Vanylven ,,
24161,26065,37,"NAV Storfjorden, Ørskog","NAV Storfjorden, Ørskog","NAV Storfjorden, Ørskog",,
24187,26150,37,NAV Verdal ,NAV Verdal ,NAV Verdal ,,
24432,26150,37,NAV Overhalla ,NAV Overhalla ,NAV Overhalla,,
22669,25911,73,Leksvik folkebibliotek,Leksvik folkebibliotek,Leksvik  Public Library,,
22588,25885,73,Kvalsund folkebibliotek,Kvalsund folkebibliotek,Kvalsund  Public Library,,
22593,25771,73,Nordkapp folkebibliotek,Nordkapp folkebibliotek,Nordkapp  Public Library,,
22599,25325,73,Deanu Girjerájus -Tana bibliotek,Deanu Girjerájus -Tana bibliotek,Tana Public Library,,
22603,25257,73,Vefsn bibliotek,Vefsn bibliotek,Vefsn  Public Library,,
25462,40948,19,Øst-Finnmark tingrett,Aust-Finnmark tingrett ,Øst-Finnmark District Court,,
25458,40948,19,Aust-Telemark tingrett,Aust-Telemark tingrett,Aust-Telemark District Court,,
25491,40948,19,Nedre Telemark tingrett,Nedre Telemark tingrett,Nedre Telemark District Court,,
25585,,66,Sel kommune,Sel kommune,Sel Municipality,939617671,0517
25587,29872,39,Midtre Hålogaland politidistrikt,Midtre Hålogaland politidistrikt,Midtre Hålogaland Police District,984000022,
25588,,55,Jordforsk - Senter for jordfaglig miljøforskning ,Jordforsk - Senter for jordfaglig miljøforskning ,Jordforsk - Senter for jordfaglig miljøforskning ,,
25590,,81,Senterpartiet,Senterpartiet,Centre Party,971278404,
25591,26674,58,Sentralskattekontoret for storbedrifter,Sentralskattekontoret for storbedrifter,Central Taxation Office for Large-Sized Enterprises,,
25592,26375,76,"Ambassaden i Sør-Korea, Seoul (Nord-Korea)","Ambassaden i Sør-Korea, Seoul (Nord-Korea)",Royal Norwegian Embassy in South Korea (North Korea),,
25593,,66,Sigdal kommune,Sigdal kommune,Sigdal Municipality,964962766,0621
25594,,66,Siljan kommune,Siljan kommune,Siljan Municipality,864953042,0811
25596,,66,Sirdal kommune,Sirdal kommune,Sirdal Municipality,964964165,1046
25597,29872,34,Utrykningspolitiet,Utrykningspolitiet,Central Mobile Police Force,,
25599,,66,Samnanger kommune,Samnanger kommune,Samnanger Municipality,964968985,1242
25600,,66,Rælingen kommune,Rælingen kommune,Rælingen Municipality,952540556,0228
25603,,66,Rømskog kommune,Rømskog kommune,Rømskog Municipality,964947171,0121
25604,,66,Røros kommune,Røros kommune,Røros Municipality,939898743,1640
25605,,66,Røst kommune,Røst kommune,Røst Municipality,945037687,1856
25606,,66,Røyken kommune,Røyken kommune,Røyken Municipality,938709866,0627
25607,,66,Røyrvik kommune,Røyrvik kommune,Røyrvik Municipality,964982120,1739
25608,,66,Råde kommune,Råde kommune,Råde Municipality,940802652,0135
25609,26582,42,Samarbeidsrådet for yrkesopplæring (SRY),Samarbeidsrådet for yrkesopplæring (SRY),Samarbeidsrådet for yrkesopplæring (SRY),,
25610,,90,Rådet for folkemusikk og folkedans,Rådet for folkemusikk og folkedans,Norwegian Council for Folk Music and Folk Dance,975372677,
25611,32189,42,Statens råd for likestilling av  funksjonshemmede,Statens råd for likestilling av funksjonshemma,Norwegian State Council on Disability,,
25612,,66,Salangen kommune,Salangen kommune,Salangen Municipality,961416388,1923
25613,,66,Saltdal kommune,Saltdal kommune,Saltdal Municipality,972417734,1840
22550,25720,64,Oppland fylkesbibliotek,Oppland fylkesbibliotek,Oppland County Library,,
22551,25509,73,Skjåk folkebibliotek,Skjåk folkebibliotek,Skjåk  Public Library,,
22552,27015,64,Buskerud fylkesbibliotek,Buskerud fylkesbibliotek,Buskerud County Library,,
22554,25232,64,Vestfold fylkesbibliotek,Vestfold fylkesbibliotek,Vestfold County Library,,
22555,32201,73,Re bibliotek,Re bibliotek,Re Public Library ,,
22556,35062,56,Enterprise Europe Network,Enterprise Europe Network,Enterprise Europe Network,,
22558,33761,37,Finnsnes trafikkstasjon,Finnsnes trafikkstasjon,Finnsnes Traffic Services Office,,
22561,33761,37,Harstad trafikkstasjon,Harstad trafikkstasjon,Harstad Traffic Services Office,,
22562,25278,73,Vadsø bibliotek,Vadsø bibliotek,Vadsø  Public Library,,
22564,35961,73,Longyearbyen folkebibliotek,Longyearbyen folkebibliotek,Longyearbyen  Public Library,,
22565,25299,39,Universitetsbiblioteket i Oslo,Universitetsbiblioteket i Oslo,University of Oslo Library,,
22566,25298,39,Universitetsbiblioteket i Bergen,Universitetsbiblioteket i Bergen,University of Bergen Library,,
22569,25779,73,Nordreisa folkebibliotek,Nordreisa folkebibliotek,Nordreisa  Public Library,,
22570,25612,73,Salangen folkebibliotek,Salangen folkebibliotek,Salangen  Public Library,,
