dato,skole,elevdag,laererdag,sfodag,kommentar
2016-07-14,Buøy skole,Nei,Nei,Nei,Sommerferie
2016-07-15,Buøy skole,Nei,Nei,Nei,Sommerferie
2016-07-16,Buøy skole,Nei,Nei,Nei,Lørdag
2016-07-17,Buøy skole,Nei,Nei,Nei,Søndag
2016-07-18,Buøy skole,Nei,Nei,Nei,Sommerferie
2016-07-19,Buøy skole,Nei,Nei,Nei,Sommerferie
2016-07-20,Buøy skole,Nei,Nei,Nei,Sommerferie
2016-07-21,Buøy skole,Nei,Nei,Nei,Sommerferie
2016-07-22,Buøy skole,Nei,Nei,Nei,Sommerferie
2016-07-23,Buøy skole,Nei,Nei,Nei,Lørdag
2016-07-24,Buøy skole,Nei,Nei,Nei,Søndag
2016-07-25,Buøy skole,Nei,Nei,Nei,Sommerferie
2016-07-26,Buøy skole,Nei,Nei,Nei,Sommerferie
2016-07-27,Buøy skole,Nei,Nei,Nei,Sommerferie
2016-07-28,Buøy skole,Nei,Nei,Nei,Sommerferie
2016-07-29,Buøy skole,Nei,Nei,Nei,Sommerferie
2016-07-30,Buøy skole,Nei,Nei,Nei,Lørdag
2016-07-31,Buøy skole,Nei,Nei,Nei,Søndag
2015-08-01,Byfjord skole,Nei,Nei,Nei,Lørdag
2015-08-02,Byfjord skole,Nei,Nei,Nei,Søndag
2015-08-03,Byfjord skole,Nei,Nei,Ja,Sommerferie
2015-08-04,Byfjord skole,Nei,Nei,Ja,Sommerferie
2015-08-05,Byfjord skole,Nei,Nei,Ja,Sommerferie
2015-08-06,Byfjord skole,Nei,Nei,Ja,Sommerferie
2015-08-07,Byfjord skole,Nei,Nei,Ja,Sommerferie
2015-08-08,Byfjord skole,Nei,Nei,Nei,Lørdag
2015-08-09,Byfjord skole,Nei,Nei,Nei,Søndag
2015-08-10,Byfjord skole,Nei,Nei,Ja,Sommerferie
2015-08-11,Byfjord skole,Nei,Nei,Ja,Sommerferie
2015-08-12,Byfjord skole,Nei,Ja,Nei,Planleggingsdag
2015-08-13,Byfjord skole,Nei,Ja,Nei,Planleggingsdag
2015-08-14,Byfjord skole,Nei,Ja,Nei,Planleggingsdag
2015-08-15,Byfjord skole,Nei,Nei,Nei,Lørdag
2015-08-16,Byfjord skole,Nei,Nei,Nei,Søndag
2015-08-17,Byfjord skole,Ja,Ja,Ja,
2015-08-18,Byfjord skole,Ja,Ja,Ja,
2015-08-19,Byfjord skole,Ja,Ja,Ja,
2015-08-20,Byfjord skole,Ja,Ja,Ja,
2015-08-21,Byfjord skole,Ja,Ja,Ja,
2015-08-22,Byfjord skole,Nei,Nei,Nei,Lørdag
2015-08-23,Byfjord skole,Nei,Nei,Nei,Søndag
2015-08-24,Byfjord skole,Ja,Ja,Ja,
2015-08-25,Byfjord skole,Ja,Ja,Ja,
2015-08-26,Byfjord skole,Ja,Ja,Ja,
2015-08-27,Byfjord skole,Ja,Ja,Ja,
2015-08-28,Byfjord skole,Ja,Ja,Ja,
2015-08-29,Byfjord skole,Nei,Nei,Nei,Lørdag
2015-08-30,Byfjord skole,Nei,Nei,Nei,Søndag
2015-08-31,Byfjord skole,Ja,Ja,Ja,
2015-09-01,Byfjord skole,Ja,Ja,Ja,
2015-09-02,Byfjord skole,Ja,Ja,Ja,
2015-09-03,Byfjord skole,Ja,Ja,Ja,
2015-09-04,Byfjord skole,Ja,Ja,Ja,
2015-09-05,Byfjord skole,Nei,Nei,Nei,Lørdag
2015-09-06,Byfjord skole,Nei,Nei,Nei,Søndag
2015-09-07,Byfjord skole,Ja,Ja,Ja,
2015-09-08,Byfjord skole,Ja,Ja,Ja,
2015-09-09,Byfjord skole,Ja,Ja,Ja,
2015-09-10,Byfjord skole,Ja,Ja,Ja,
2015-09-11,Byfjord skole,Ja,Ja,Ja,
2015-09-12,Byfjord skole,Nei,Nei,Nei,Lørdag
2015-09-13,Byfjord skole,Nei,Nei,Nei,Søndag
2015-09-14,Byfjord skole,Ja,Ja,Ja,
2015-09-15,Byfjord skole,Ja,Ja,Ja,
2015-09-16,Byfjord skole,Ja,Ja,Ja,
2015-09-17,Byfjord skole,Ja,Ja,Ja,
2015-09-18,Byfjord skole,Ja,Ja,Ja,
2015-09-19,Byfjord skole,Nei,Nei,Nei,Lørdag
2015-09-20,Byfjord skole,Nei,Nei,Nei,Søndag
2015-09-21,Byfjord skole,Ja,Ja,Ja,
2015-09-22,Byfjord skole,Ja,Ja,Ja,
2015-09-23,Byfjord skole,Ja,Ja,Ja,
2015-09-24,Byfjord skole,Ja,Ja,Ja,
2015-09-25,Byfjord skole,Ja,Ja,Ja,
2015-09-26,Byfjord skole,Nei,Nei,Nei,Lørdag
2015-09-27,Byfjord skole,Nei,Nei,Nei,Søndag
2015-09-28,Byfjord skole,Ja,Ja,Ja,
2015-09-29,Byfjord skole,Ja,Ja,Ja,
2015-09-30,Byfjord skole,Ja,Ja,Ja,
2015-10-01,Byfjord skole,Ja,Ja,Ja,
2015-10-02,Byfjord skole,Ja,Ja,Ja,
2015-10-03,Byfjord skole,Nei,Nei,Nei,Lørdag
2015-10-04,Byfjord skole,Nei,Nei,Nei,Søndag
2015-10-05,Byfjord skole,Nei,Nei,Ja,Høstferie
2015-10-06,Byfjord skole,Nei,Nei,Ja,Høstferie
2015-10-07,Byfjord skole,Nei,Nei,Ja,Høstferie
2015-10-08,Byfjord skole,Nei,Nei,Ja,Høstferie
2015-10-09,Byfjord skole,Nei,Nei,Ja,Høstferie
2015-10-10,Byfjord skole,Nei,Nei,Nei,Lørdag
2015-10-11,Byfjord skole,Nei,Nei,Nei,Søndag
2015-10-12,Byfjord skole,Ja,Ja,Ja,
2015-10-13,Byfjord skole,Ja,Ja,Ja,
2015-10-14,Byfjord skole,Ja,Ja,Ja,
2015-10-15,Byfjord skole,Ja,Ja,Ja,
2015-10-16,Byfjord skole,Ja,Ja,Ja,
2015-10-17,Byfjord skole,Nei,Nei,Nei,Lørdag
2015-10-18,Byfjord skole,Nei,Nei,Nei,Søndag
2015-10-19,Byfjord skole,Ja,Ja,Ja,
2015-10-20,Byfjord skole,Ja,Ja,Ja,
2015-10-21,Byfjord skole,Ja,Ja,Ja,
2015-10-22,Byfjord skole,Ja,Ja,Ja,
2015-10-23,Byfjord skole,Ja,Ja,Ja,
2015-10-24,Byfjord skole,Nei,Nei,Nei,Lørdag
2015-10-25,Byfjord skole,Nei,Nei,Nei,Søndag
2015-10-26,Byfjord skole,Ja,Ja,Ja,
2015-10-27,Byfjord skole,Ja,Ja,Ja,
2015-10-28,Byfjord skole,Ja,Ja,Ja,
2015-10-29,Byfjord skole,Ja,Ja,Ja,
2015-10-30,Byfjord skole,Ja,Ja,Ja,
2015-10-31,Byfjord skole,Nei,Nei,Nei,Lørdag
2015-11-01,Byfjord skole,Nei,Nei,Nei,Søndag
2015-11-02,Byfjord skole,Ja,Ja,Ja,
2015-11-03,Byfjord skole,Ja,Ja,Ja,
2015-11-04,Byfjord skole,Ja,Ja,Ja,
2015-11-05,Byfjord skole,Ja,Ja,Ja,
2015-11-06,Byfjord skole,Ja,Ja,Ja,
2015-11-07,Byfjord skole,Nei,Nei,Nei,Lørdag
2015-11-08,Byfjord skole,Nei,Nei,Nei,Søndag
2015-11-09,Byfjord skole,Ja,Ja,Ja,
2015-11-10,Byfjord skole,Ja,Ja,Ja,
2015-11-11,Byfjord skole,Ja,Ja,Ja,
2015-11-12,Byfjord skole,Ja,Ja,Ja,
2015-11-13,Byfjord skole,Nei,Ja,Nei,Planleggingsdag
2015-11-14,Byfjord skole,Nei,Nei,Nei,Lørdag
2015-11-15,Byfjord skole,Nei,Nei,Nei,Søndag
2015-11-16,Byfjord skole,Ja,Ja,Ja,
2015-11-17,Byfjord skole,Ja,Ja,Ja,
2015-11-18,Byfjord skole,Ja,Ja,Ja,
2015-11-19,Byfjord skole,Ja,Ja,Ja,
2015-11-20,Byfjord skole,Ja,Ja,Ja,
2015-11-21,Byfjord skole,Nei,Nei,Nei,Lørdag
2015-11-22,Byfjord skole,Nei,Nei,Nei,Søndag
2015-11-23,Byfjord skole,Ja,Ja,Ja,
2015-11-24,Byfjord skole,Ja,Ja,Ja,
2015-11-25,Byfjord skole,Ja,Ja,Ja,
2015-11-26,Byfjord skole,Ja,Ja,Ja,
2015-11-27,Byfjord skole,Ja,Ja,Ja,
2015-11-28,Byfjord skole,Nei,Nei,Nei,Lørdag
2015-11-29,Byfjord skole,Nei,Nei,Nei,Søndag
2015-11-30,Byfjord skole,Ja,Ja,Ja,
2015-12-01,Byfjord skole,Ja,Ja,Ja,
2015-12-02,Byfjord skole,Ja,Ja,Ja,
2015-12-03,Byfjord skole,Ja,Ja,Ja,
2015-12-04,Byfjord skole,Ja,Ja,Ja,
2015-12-05,Byfjord skole,Nei,Nei,Nei,Lørdag
2015-12-06,Byfjord skole,Nei,Nei,Nei,Søndag
2015-12-07,Byfjord skole,Ja,Ja,Ja,
2015-12-08,Byfjord skole,Ja,Ja,Ja,
2015-12-09,Byfjord skole,Ja,Ja,Ja,
2015-12-10,Byfjord skole,Ja,Ja,Ja,
2015-12-11,Byfjord skole,Ja,Ja,Ja,
2015-12-12,Byfjord skole,Nei,Nei,Nei,Lørdag
2015-12-13,Byfjord skole,Nei,Nei,Nei,Søndag
2015-12-14,Byfjord skole,Ja,Ja,Ja,
2015-12-15,Byfjord skole,Ja,Ja,Ja,
2015-12-16,Byfjord skole,Ja,Ja,Ja,
2015-12-17,Byfjord skole,Ja,Ja,Ja,
2015-12-18,Byfjord skole,Ja,Ja,Ja,
2015-12-19,Byfjord skole,Nei,Nei,Nei,Lørdag
2015-12-20,Byfjord skole,Nei,Nei,Nei,Søndag
2015-12-21,Byfjord skole,Nei,Nei,Ja,Juleferie
2015-12-22,Byfjord skole,Nei,Nei,Ja,Juleferie
2015-12-23,Byfjord skole,Nei,Nei,Ja,Juleferie
2015-12-24,Byfjord skole,Nei,Nei,Nei,Juleferie
2015-12-25,Byfjord skole,Nei,Nei,Nei,1. juledag
2015-12-26,Byfjord skole,Nei,Nei,Nei,2. juledag
2015-12-27,Byfjord skole,Nei,Nei,Nei,Søndag
2015-12-28,Byfjord skole,Nei,Nei,Ja,Juleferie
2015-12-29,Byfjord skole,Nei,Nei,Ja,Juleferie
2015-12-30,Byfjord skole,Nei,Nei,Ja,Juleferie
2015-12-31,Byfjord skole,Nei,Nei,Nei,Juleferie
2016-01-01,Byfjord skole,Nei,Nei,Nei,1. nyttårsdag
2016-01-02,Byfjord skole,Nei,Nei,Nei,Lørdag
2016-01-03,Byfjord skole,Nei,Nei,Nei,Søndag
2016-01-04,Byfjord skole,Ja,Ja,Ja,
2016-01-05,Byfjord skole,Ja,Ja,Ja,
2016-01-06,Byfjord skole,Ja,Ja,Ja,
2016-01-07,Byfjord skole,Ja,Ja,Ja,
2016-01-08,Byfjord skole,Ja,Ja,Ja,
2016-01-09,Byfjord skole,Nei,Nei,Nei,Lørdag
2016-01-10,Byfjord skole,Nei,Nei,Nei,Søndag
2016-01-11,Byfjord skole,Ja,Ja,Ja,
2016-01-12,Byfjord skole,Ja,Ja,Ja,
2016-01-13,Byfjord skole,Ja,Ja,Ja,
2016-01-14,Byfjord skole,Ja,Ja,Ja,
2016-01-15,Byfjord skole,Ja,Ja,Ja,
2016-01-16,Byfjord skole,Nei,Nei,Nei,Lørdag
2016-01-17,Byfjord skole,Nei,Nei,Nei,Søndag
2016-01-18,Byfjord skole,Ja,Ja,Ja,
2016-01-19,Byfjord skole,Ja,Ja,Ja,
2016-01-20,Byfjord skole,Ja,Ja,Ja,
2016-01-21,Byfjord skole,Ja,Ja,Ja,
2016-01-22,Byfjord skole,Ja,Ja,Ja,
2016-01-23,Byfjord skole,Nei,Nei,Nei,Lørdag
2016-01-24,Byfjord skole,Nei,Nei,Nei,Søndag
