aar,yrkekode,yrke,ostfold,akershus,oslo,hedmark,oppland,buskerud,vestfold,telemark,aust_agder,vest_agder,rogaland,hordaland,sogn_fjordane,more_og_romsdal,trondelag,nordland,troms,finnmark,norge
2017,7511,"Slaktere, fiskehandlere mv.",0,0,25,0,0,0,25,0,0,0,25,0,0,0,25,0,0,0,100
2017,7522,Møbelsnekkere,0,0,25,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,100
2017,9329,Andre hjelpearbeidere i industri,0,0,25,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,100
2017,9412,Kjøkkenassistenter,0,0,25,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,100
2017,1211,Finans- og økonomisjefer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
2017,1221,Salgs- og markedssjefer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
2017,1321,Ledere av industriproduksjon mv.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
2017,1324,Ledere av logistikk og transport mv.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
2017,1343,Ledere av eldreomsorg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
2017,1349,Andre ledere av produksjon og tjenesteyting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
2017,1431,"Sports-, rekreasjons- og kultursenterledere",0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,50
2017,2152,Sivilingeniører (elektronikk),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
2017,2211,Allmennpraktiserende leger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
2017,2351,Spesialister i pedagogikk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
2017,2421,Organisasjonsrådgivere mv.,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
2017,2431,Reklame- og markedsføringsrådgivere,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
2017,2433,Salgskonsulenter innen tekniske og medisinske produkter,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
2017,2529,Sikkerhetsanalytikere mv.,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
2017,2632,"Rådgivere/forskere, samfunns-vitenskap",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
2017,2634,Psykologer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
2017,3113,Elkraftingeniører,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
2017,3212,Bioingeniører,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,50
2017,3214,Protese- og tannteknikere,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,50
2017,3240,Dyrepleiere,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
2017,3313,Regnskapsførere,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
2017,3321,Forsikringsagenter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,50
2017,3353,Saksbehandlere innen sosiale ytelser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
2017,3412,Miljøarbeidere innen sosiale fagfelt,0,0,0,0,0,0,25,0,0,0,0,0,0,0,25,0,0,0,50
2017,3431,Fotografer og filmfotografer,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,25,0,50
2017,3434,Sjefskokker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
2017,3439,Andre yrker innen estetiske fag,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
2017,3511,"Driftsteknikere, IKT",0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
2017,3514,Internett-teknikere,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
2017,3522,Teknikere innen telekom,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
2017,4224,Hotellresepsjonister,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
2017,4312,Forsikrings- og finansmedarbeidere,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
2017,4321,Lagermedarbeidere og materialforvaltere,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
2017,5111,"Flyverter, båtverter mv.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
2017,5132,Bartendere,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
2017,5153,Vaktmestre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
2017,5164,Dyrepassere og –trenere mv.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
2017,5165,Kjøreskolelærere,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
2017,5230,Billettselgere,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
2017,5414,Vektere,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
2017,6121,Melke- og husdyrprodusenter,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
2017,6129,Andre dyreoppdrettere og røktere,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,25,0,0,50
2017,6221,Havbruksarbeidere,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
2017,7122,Gulv- og flisleggere,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
2017,7124,Isolatører mv.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
2017,7127,Kuldemontører mv.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
2017,7413,Energimontører,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
