Versjon,Kost2a,Hovedgruppering art,Art,Art(T),Avdkode,Avdeling,Resenhet,Resenhet(T),Okplinv,Okplinv(T),Ansvar,Ansvar(T),Tjområde,Tjområde(T),Tjenes2,Tjenesteområde,Selvkost,Selvkost(T),Tjeneste,Tjeneste(T),Objekt,Objekt(T),Proplan,Proplan(T),Prosjektkode,Prosjekt,Budendr,Budendr(T),Byravd,2012 (fra vedt. øk.plan),2013,2014,2015,2016
12-15VB,100,Investeringer i anleggsmidler,012000,"INV Annen forbr.matr.,råvarer,tj.",2,"Byrådsavd. for finans, eiendom og eierskap",0215,Kemneren,EGEN,Bykassen-investeringer egenregi,021610,"Avd. for kommunale krav, kemner",16,Administrasjon og fellesfunksjoner,16,Administrasjon og fellesfunksjoner,N,Nei,12000,Administrasjon,IKTINV,IKTHP  - Investeringer,IKTPLFAG,IKT-HP - Fagsystemer,100554,Innfordringssystem kommunale krav,01,Vedtatt budsjett inneværende år,BY,"190 000,00","0,00","0,00","0,00","0,00"
13-16IN1,100,Investeringer i anleggsmidler,012000,"INV Annen forbr.matr.,råvarer,tj.",2,"Byrådsavd. for finans, eiendom og eierskap",0215,Kemneren,EGEN,Bykassen-investeringer egenregi,021610,"Avd. for kommunale krav, kemner",16,Administrasjon og fellesfunksjoner,16,Administrasjon og fellesfunksjoner,N,Nei,12000,Administrasjon,IKTINV,IKTHP  - Investeringer,IKTPLFAG,IKT-HP - Fagsystemer,100554,Innfordringssystem kommunale krav,01,Vedtatt budsjett inneværende år,BY,"0,00","190 000,00","0,00","0,00","0,00"
13-16IN1,100,Investeringer i anleggsmidler,012000,"INV Annen forbr.matr.,råvarer,tj.",2,"Byrådsavd. for finans, eiendom og eierskap",0250,HR-seksjonen,EGEN,Bykassen-investeringer egenregi,062165,IKT-prosjekter HR-seksjonen,16,Administrasjon og fellesfunksjoner,16,Administrasjon og fellesfunksjoner,N,Nei,12000,Administrasjon,IKTINV,IKTHP  - Investeringer,IKTPLFAG,IKT-HP - Fagsystemer,012609,Nytt HR-system,22,INV-Kostnadsendring investering,BY,"0,00","3 200 000,00","0,00","0,00","0,00"
12-15VB,100,Investeringer i anleggsmidler,012000,"INV Annen forbr.matr.,råvarer,tj.",2,"Byrådsavd. for finans, eiendom og eierskap",0213,IKT Drift,EGEN,Bykassen-investeringer egenregi,062354,IKT Drift Intern Konserninnkjøp,16,Administrasjon og fellesfunksjoner,16,Administrasjon og fellesfunksjoner,N,Nei,12000,Administrasjon,IKTINV,IKTHP  - Investeringer,IKTPLFIN,IKT-HP - Felles infrastruktur,011616,SAN utvidelse,01,Vedtatt budsjett inneværende år,BY,"2 000 000,00","0,00","0,00","0,00","0,00"
13-16IN1,100,Investeringer i anleggsmidler,012000,"INV Annen forbr.matr.,råvarer,tj.",2,"Byrådsavd. for finans, eiendom og eierskap",0213,IKT Drift,EGEN,Bykassen-investeringer egenregi,062354,IKT Drift Intern Konserninnkjøp,16,Administrasjon og fellesfunksjoner,16,Administrasjon og fellesfunksjoner,N,Nei,12000,Administrasjon,IKTINV,IKTHP  - Investeringer,IKTPLFIN,IKT-HP - Felles infrastruktur,011616,SAN utvidelse,01,Vedtatt budsjett inneværende år,BY,"0,00","1 400 000,00","1 000 000,00","0,00","0,00"
12-15VB,100,Investeringer i anleggsmidler,012000,"INV Annen forbr.matr.,råvarer,tj.",2,"Byrådsavd. for finans, eiendom og eierskap",0213,IKT Drift,EGEN,Bykassen-investeringer egenregi,062354,IKT Drift Intern Konserninnkjøp,16,Administrasjon og fellesfunksjoner,16,Administrasjon og fellesfunksjoner,N,Nei,12000,Administrasjon,IKTINV,IKTHP  - Investeringer,IKTPLFIN,IKT-HP - Felles infrastruktur,011616,SAN utvidelse,31,Diverse endringer,BY,"0,00","0,00","0,00","0,00","0,00"
12-15VB,100,Investeringer i anleggsmidler,012000,"INV Annen forbr.matr.,råvarer,tj.",2,"Byrådsavd. for finans, eiendom og eierskap",0213,IKT Drift,EGEN,Bykassen-investeringer egenregi,062354,IKT Drift Intern Konserninnkjøp,16,Administrasjon og fellesfunksjoner,16,Administrasjon og fellesfunksjoner,N,Nei,12000,Administrasjon,IKTINV,IKTHP  - Investeringer,IKTPLFIN,IKT-HP - Felles infrastruktur,011619,Kontinuitetsløsninger (KBP),01,Vedtatt budsjett inneværende år,BY,"1 000 000,00","0,00","0,00","0,00","0,00"
13-16IN1,100,Investeringer i anleggsmidler,012000,"INV Annen forbr.matr.,råvarer,tj.",2,"Byrådsavd. for finans, eiendom og eierskap",0213,IKT Drift,EGEN,Bykassen-investeringer egenregi,062354,IKT Drift Intern Konserninnkjøp,16,Administrasjon og fellesfunksjoner,16,Administrasjon og fellesfunksjoner,N,Nei,12000,Administrasjon,IKTINV,IKTHP  - Investeringer,IKTPLFIN,IKT-HP - Felles infrastruktur,011619,Kontinuitetsløsninger (KBP),01,Vedtatt budsjett inneværende år,BY,"0,00","500 000,00","0,00","0,00","0,00"
12-15VB,100,Investeringer i anleggsmidler,012000,"INV Annen forbr.matr.,råvarer,tj.",2,"Byrådsavd. for finans, eiendom og eierskap",0213,IKT Drift,EGEN,Bykassen-investeringer egenregi,062354,IKT Drift Intern Konserninnkjøp,16,Administrasjon og fellesfunksjoner,16,Administrasjon og fellesfunksjoner,N,Nei,12000,Administrasjon,IKTINV,IKTHP  - Investeringer,IKTPLFIN,IKT-HP - Felles infrastruktur,011619,Kontinuitetsløsninger (KBP),31,Diverse endringer,BY,"-500 000,00","0,00","0,00","0,00","0,00"
12-15VB,100,Investeringer i anleggsmidler,012000,"INV Annen forbr.matr.,råvarer,tj.",2,"Byrådsavd. for finans, eiendom og eierskap",0213,IKT Drift,EGEN,Bykassen-investeringer egenregi,062354,IKT Drift Intern Konserninnkjøp,16,Administrasjon og fellesfunksjoner,16,Administrasjon og fellesfunksjoner,N,Nei,12000,Administrasjon,IKTINV,IKTHP  - Investeringer,IKTPLFIN,IKT-HP - Felles infrastruktur,011623,Rullering av kjernenett,01,Vedtatt budsjett inneværende år,BY,"1 500 000,00","0,00","0,00","0,00","0,00"
13-16IN1,100,Investeringer i anleggsmidler,012000,"INV Annen forbr.matr.,råvarer,tj.",2,"Byrådsavd. for finans, eiendom og eierskap",0213,IKT Drift,EGEN,Bykassen-investeringer egenregi,062354,IKT Drift Intern Konserninnkjøp,16,Administrasjon og fellesfunksjoner,16,Administrasjon og fellesfunksjoner,N,Nei,12000,Administrasjon,IKTINV,IKTHP  - Investeringer,IKTPLFIN,IKT-HP - Felles infrastruktur,011623,Rullering av kjernenett,01,Vedtatt budsjett inneværende år,BY,"0,00","900 000,00","0,00","0,00","0,00"
12-15VB,100,Investeringer i anleggsmidler,012000,"INV Annen forbr.matr.,råvarer,tj.",2,"Byrådsavd. for finans, eiendom og eierskap",0213,IKT Drift,EGEN,Bykassen-investeringer egenregi,062354,IKT Drift Intern Konserninnkjøp,16,Administrasjon og fellesfunksjoner,16,Administrasjon og fellesfunksjoner,N,Nei,12000,Administrasjon,IKTINV,IKTHP  - Investeringer,IKTPLFIN,IKT-HP - Felles infrastruktur,011623,Rullering av kjernenett,31,Diverse endringer,BY,"-1 300 000,00","0,00","0,00","0,00","0,00"
12-15VB,100,Investeringer i anleggsmidler,012000,"INV Annen forbr.matr.,råvarer,tj.",2,"Byrådsavd. for finans, eiendom og eierskap",0213,IKT Drift,EGEN,Bykassen-investeringer egenregi,062354,IKT Drift Intern Konserninnkjøp,16,Administrasjon og fellesfunksjoner,16,Administrasjon og fellesfunksjoner,N,Nei,12000,Administrasjon,IKTINV,IKTHP  - Investeringer,IKTPLFIN,IKT-HP - Felles infrastruktur,011624,Rullering av sentrale servere - basis infrastruktur,01,Vedtatt budsjett inneværende år,BY,"2 000 000,00","0,00","0,00","0,00","0,00"
13-16IN1,100,Investeringer i anleggsmidler,012000,"INV Annen forbr.matr.,råvarer,tj.",2,"Byrådsavd. for finans, eiendom og eierskap",0213,IKT Drift,EGEN,Bykassen-investeringer egenregi,062354,IKT Drift Intern Konserninnkjøp,16,Administrasjon og fellesfunksjoner,16,Administrasjon og fellesfunksjoner,N,Nei,12000,Administrasjon,IKTINV,IKTHP  - Investeringer,IKTPLFIN,IKT-HP - Felles infrastruktur,011624,Rullering av sentrale servere - basis infrastruktur,01,Vedtatt budsjett inneværende år,BY,"0,00","600 000,00","1 500 000,00","0,00","0,00"
12-15VB,100,Investeringer i anleggsmidler,012000,"INV Annen forbr.matr.,råvarer,tj.",2,"Byrådsavd. for finans, eiendom og eierskap",0213,IKT Drift,EGEN,Bykassen-investeringer egenregi,062354,IKT Drift Intern Konserninnkjøp,16,Administrasjon og fellesfunksjoner,16,Administrasjon og fellesfunksjoner,N,Nei,12000,Administrasjon,IKTINV,IKTHP  - Investeringer,IKTPLFIN,IKT-HP - Felles infrastruktur,011624,Rullering av sentrale servere - basis infrastruktur,31,Diverse endringer,BY,"-1 800 000,00","0,00","0,00","0,00","0,00"
12-15VB,100,Investeringer i anleggsmidler,012000,"INV Annen forbr.matr.,råvarer,tj.",2,"Byrådsavd. for finans, eiendom og eierskap",0213,IKT Drift,EGEN,Bykassen-investeringer egenregi,062354,IKT Drift Intern Konserninnkjøp,16,Administrasjon og fellesfunksjoner,16,Administrasjon og fellesfunksjoner,N,Nei,12000,Administrasjon,IKTINV,IKTHP  - Investeringer,IKTPLFIN,IKT-HP - Felles infrastruktur,011625,Rullering av sentrale servere - elevnett,01,Vedtatt budsjett inneværende år,BY,"500 000,00","0,00","0,00","0,00","0,00"
13-16IN1,100,Investeringer i anleggsmidler,012000,"INV Annen forbr.matr.,råvarer,tj.",2,"Byrådsavd. for finans, eiendom og eierskap",0213,IKT Drift,EGEN,Bykassen-investeringer egenregi,062354,IKT Drift Intern Konserninnkjøp,16,Administrasjon og fellesfunksjoner,16,Administrasjon og fellesfunksjoner,N,Nei,12000,Administrasjon,IKTINV,IKTHP  - Investeringer,IKTPLFIN,IKT-HP - Felles infrastruktur,011625,Rullering av sentrale servere - elevnett,01,Vedtatt budsjett inneværende år,BY,"0,00","400 000,00","500 000,00","500 000,00","0,00"
12-15VB,100,Investeringer i anleggsmidler,012000,"INV Annen forbr.matr.,råvarer,tj.",2,"Byrådsavd. for finans, eiendom og eierskap",0213,IKT Drift,EGEN,Bykassen-investeringer egenregi,062354,IKT Drift Intern Konserninnkjøp,16,Administrasjon og fellesfunksjoner,16,Administrasjon og fellesfunksjoner,N,Nei,12000,Administrasjon,IKTINV,IKTHP  - Investeringer,IKTPLFIN,IKT-HP - Felles infrastruktur,011625,Rullering av sentrale servere - elevnett,31,Diverse endringer,BY,"0,00","0,00","0,00","0,00","0,00"
12-15VB,100,Investeringer i anleggsmidler,012000,"INV Annen forbr.matr.,råvarer,tj.",2,"Byrådsavd. for finans, eiendom og eierskap",0213,IKT Drift,EGEN,Bykassen-investeringer egenregi,062354,IKT Drift Intern Konserninnkjøp,16,Administrasjon og fellesfunksjoner,16,Administrasjon og fellesfunksjoner,N,Nei,12000,Administrasjon,IKTINV,IKTHP  - Investeringer,IKTPLFIN,IKT-HP - Felles infrastruktur,011626,Rullering av sentrale servere - fagsystemer,01,Vedtatt budsjett inneværende år,BY,"3 000 000,00","0,00","0,00","0,00","0,00"
13-16IN1,100,Investeringer i anleggsmidler,012000,"INV Annen forbr.matr.,råvarer,tj.",2,"Byrådsavd. for finans, eiendom og eierskap",0213,IKT Drift,EGEN,Bykassen-investeringer egenregi,062354,IKT Drift Intern Konserninnkjøp,16,Administrasjon og fellesfunksjoner,16,Administrasjon og fellesfunksjoner,N,Nei,12000,Administrasjon,IKTINV,IKTHP  - Investeringer,IKTPLFIN,IKT-HP - Felles infrastruktur,011626,Rullering av sentrale servere - fagsystemer,01,Vedtatt budsjett inneværende år,BY,"0,00","1 000 000,00","1 000 000,00","2 000 000,00","0,00"
12-15VB,100,Investeringer i anleggsmidler,012000,"INV Annen forbr.matr.,råvarer,tj.",2,"Byrådsavd. for finans, eiendom og eierskap",0213,IKT Drift,EGEN,Bykassen-investeringer egenregi,062354,IKT Drift Intern Konserninnkjøp,16,Administrasjon og fellesfunksjoner,16,Administrasjon og fellesfunksjoner,N,Nei,12000,Administrasjon,IKTINV,IKTHP  - Investeringer,IKTPLFIN,IKT-HP - Felles infrastruktur,011626,Rullering av sentrale servere - fagsystemer,31,Diverse endringer,BY,"-2 700 000,00","0,00","0,00","0,00","0,00"
12-15VB,100,Investeringer i anleggsmidler,012000,"INV Annen forbr.matr.,råvarer,tj.",2,"Byrådsavd. for finans, eiendom og eierskap",0213,IKT Drift,EGEN,Bykassen-investeringer egenregi,062354,IKT Drift Intern Konserninnkjøp,16,Administrasjon og fellesfunksjoner,16,Administrasjon og fellesfunksjoner,N,Nei,12000,Administrasjon,IKTINV,IKTHP  - Investeringer,IKTPLFIN,IKT-HP - Felles infrastruktur,011627,Rullering av - Terminalserverfarmer,01,Vedtatt budsjett inneværende år,BY,"1 000 000,00","0,00","0,00","0,00","0,00"
13-16IN1,100,Investeringer i anleggsmidler,012000,"INV Annen forbr.matr.,råvarer,tj.",2,"Byrådsavd. for finans, eiendom og eierskap",0213,IKT Drift,EGEN,Bykassen-investeringer egenregi,062354,IKT Drift Intern Konserninnkjøp,16,Administrasjon og fellesfunksjoner,16,Administrasjon og fellesfunksjoner,N,Nei,12000,Administrasjon,IKTINV,IKTHP  - Investeringer,IKTPLFIN,IKT-HP - Felles infrastruktur,011627,Rullering av - Terminalserverfarmer,01,Vedtatt budsjett inneværende år,BY,"0,00","200 000,00","500 000,00","0,00","0,00"
12-15VB,100,Investeringer i anleggsmidler,012000,"INV Annen forbr.matr.,råvarer,tj.",2,"Byrådsavd. for finans, eiendom og eierskap",0213,IKT Drift,EGEN,Bykassen-investeringer egenregi,062354,IKT Drift Intern Konserninnkjøp,16,Administrasjon og fellesfunksjoner,16,Administrasjon og fellesfunksjoner,N,Nei,12000,Administrasjon,IKTINV,IKTHP  - Investeringer,IKTPLFIN,IKT-HP - Felles infrastruktur,011627,Rullering av - Terminalserverfarmer,31,Diverse endringer,BY,"-700 000,00","0,00","0,00","0,00","0,00"
12-15VB,100,Investeringer i anleggsmidler,012000,"INV Annen forbr.matr.,råvarer,tj.",2,"Byrådsavd. for finans, eiendom og eierskap",0213,IKT Drift,EGEN,Bykassen-investeringer egenregi,062354,IKT Drift Intern Konserninnkjøp,16,Administrasjon og fellesfunksjoner,16,Administrasjon og fellesfunksjoner,N,Nei,12000,Administrasjon,IKTINV,IKTHP  - Investeringer,IKTPLFIN,IKT-HP - Felles infrastruktur,011628,Utskiftning av sentrale brannmurer,01,Vedtatt budsjett inneværende år,BY,"0,00","0,00","0,00","0,00","0,00"
13-16IN1,100,Investeringer i anleggsmidler,012000,"INV Annen forbr.matr.,råvarer,tj.",2,"Byrådsavd. for finans, eiendom og eierskap",0213,IKT Drift,EGEN,Bykassen-investeringer egenregi,062354,IKT Drift Intern Konserninnkjøp,16,Administrasjon og fellesfunksjoner,16,Administrasjon og fellesfunksjoner,N,Nei,12000,Administrasjon,IKTINV,IKTHP  - Investeringer,IKTPLFIN,IKT-HP - Felles infrastruktur,011628,Utskiftning av sentrale brannmurer,01,Vedtatt budsjett inneværende år,BY,"0,00","0,00","500 000,00","1 000 000,00","0,00"
12-15VB,100,Investeringer i anleggsmidler,012000,"INV Annen forbr.matr.,råvarer,tj.",2,"Byrådsavd. for finans, eiendom og eierskap",0213,IKT Drift,EGEN,Bykassen-investeringer egenregi,062354,IKT Drift Intern Konserninnkjøp,16,Administrasjon og fellesfunksjoner,16,Administrasjon og fellesfunksjoner,N,Nei,12000,Administrasjon,IKTINV,IKTHP  - Investeringer,IKTPLFIN,IKT-HP - Felles infrastruktur,011628,Utskiftning av sentrale brannmurer,31,Diverse endringer,BY,"0,00","0,00","0,00","0,00","0,00"
12-15VB,100,Investeringer i anleggsmidler,012000,"INV Annen forbr.matr.,råvarer,tj.",2,"Byrådsavd. for finans, eiendom og eierskap",0213,IKT Drift,EGEN,Bykassen-investeringer egenregi,062354,IKT Drift Intern Konserninnkjøp,16,Administrasjon og fellesfunksjoner,16,Administrasjon og fellesfunksjoner,N,Nei,12000,Administrasjon,IKTINV,IKTHP  - Investeringer,IKTPLFIN,IKT-HP - Felles infrastruktur,011629,Videreutvikling av lagringsløsninger,01,Vedtatt budsjett inneværende år,BY,"1 000 000,00","0,00","0,00","0,00","0,00"
13-16IN1,100,Investeringer i anleggsmidler,012000,"INV Annen forbr.matr.,råvarer,tj.",2,"Byrådsavd. for finans, eiendom og eierskap",0213,IKT Drift,EGEN,Bykassen-investeringer egenregi,062354,IKT Drift Intern Konserninnkjøp,16,Administrasjon og fellesfunksjoner,16,Administrasjon og fellesfunksjoner,N,Nei,12000,Administrasjon,IKTINV,IKTHP  - Investeringer,IKTPLFIN,IKT-HP - Felles infrastruktur,011629,Videreutvikling av lagringsløsninger,01,Vedtatt budsjett inneværende år,BY,"0,00","1 000 000,00","1 000 000,00","1 000 000,00","0,00"
12-15VB,100,Investeringer i anleggsmidler,012000,"INV Annen forbr.matr.,råvarer,tj.",2,"Byrådsavd. for finans, eiendom og eierskap",0213,IKT Drift,EGEN,Bykassen-investeringer egenregi,062354,IKT Drift Intern Konserninnkjøp,16,Administrasjon og fellesfunksjoner,16,Administrasjon og fellesfunksjoner,N,Nei,12000,Administrasjon,IKTINV,IKTHP  - Investeringer,IKTPLFIN,IKT-HP - Felles infrastruktur,011629,Videreutvikling av lagringsløsninger,31,Diverse endringer,BY,"0,00","0,00","0,00","0,00","0,00"
12-15VB,100,Investeringer i anleggsmidler,012000,"INV Annen forbr.matr.,råvarer,tj.",2,"Byrådsavd. for finans, eiendom og eierskap",0213,IKT Drift,EGEN,Bykassen-investeringer egenregi,062354,IKT Drift Intern Konserninnkjøp,16,Administrasjon og fellesfunksjoner,16,Administrasjon og fellesfunksjoner,N,Nei,12000,Administrasjon,IKTINV,IKTHP  - Investeringer,IKTPLFAG,IKT-HP - Fagsystemer,011630,Anskaffelse av nytt Helpdesk-verktøy,01,Vedtatt budsjett inneværende år,BY,"0,00","0,00","0,00","0,00","0,00"
13-16IN1,100,Investeringer i anleggsmidler,012000,"INV Annen forbr.matr.,råvarer,tj.",2,"Byrådsavd. for finans, eiendom og eierskap",0213,IKT Drift,EGEN,Bykassen-investeringer egenregi,062354,IKT Drift Intern Konserninnkjøp,16,Administrasjon og fellesfunksjoner,16,Administrasjon og fellesfunksjoner,N,Nei,12000,Administrasjon,IKTINV,IKTHP  - Investeringer,IKTPLFAG,IKT-HP - Fagsystemer,011630,Anskaffelse av nytt Helpdesk-verktøy,01,Vedtatt budsjett inneværende år,BY,"0,00","1 000 000,00","3 000 000,00","1 000 000,00","0,00"
12-15VB,100,Investeringer i anleggsmidler,012000,"INV Annen forbr.matr.,råvarer,tj.",2,"Byrådsavd. for finans, eiendom og eierskap",0213,IKT Drift,EGEN,Bykassen-investeringer egenregi,062354,IKT Drift Intern Konserninnkjøp,16,Administrasjon og fellesfunksjoner,16,Administrasjon og fellesfunksjoner,N,Nei,12000,Administrasjon,IKTINV,IKTHP  - Investeringer,IKTPLFAG,IKT-HP - Fagsystemer,011630,Anskaffelse av nytt Helpdesk-verktøy,31,Diverse endringer,BY,"0,00","0,00","0,00","0,00","0,00"
13-16IN1,100,Investeringer i anleggsmidler,012000,"INV Annen forbr.matr.,råvarer,tj.",2,"Byrådsavd. for finans, eiendom og eierskap",0213,IKT Drift,EGEN,Bykassen-investeringer egenregi,062354,IKT Drift Intern Konserninnkjøp,16,Administrasjon og fellesfunksjoner,16,Administrasjon og fellesfunksjoner,N,Nei,12000,Administrasjon,IKTINV,IKTHP  - Investeringer,IKTPLFIN,IKT-HP - Felles infrastruktur,011633,Rullering av felles infrastruktur,01,Vedtatt budsjett inneværende år,BY,"0,00","0,00","0,00","3 500 000,00","0,00"
12-15VB,100,Investeringer i anleggsmidler,012000,"INV Annen forbr.matr.,råvarer,tj.",2,"Byrådsavd. for finans, eiendom og eierskap",0213,IKT Drift,EGEN,Bykassen-investeringer egenregi,062354,IKT Drift Intern Konserninnkjøp,16,Administrasjon og fellesfunksjoner,16,Administrasjon og fellesfunksjoner,N,Nei,12000,Administrasjon,IKTINV,IKTHP  - Investeringer,IKTPLFIN,IKT-HP - Felles infrastruktur,011633,Rullering av felles infrastruktur,31,Diverse endringer,BY,"0,00","0,00","0,00","0,00","0,00"
13-16IN1,100,Investeringer i anleggsmidler,012000,"INV Annen forbr.matr.,råvarer,tj.",2,"Byrådsavd. for finans, eiendom og eierskap",0213,IKT Drift,EGEN,Bykassen-investeringer egenregi,062354,IKT Drift Intern Konserninnkjøp,16,Administrasjon og fellesfunksjoner,16,Administrasjon og fellesfunksjoner,N,Nei,12000,Administrasjon,IKTINV,IKTHP  - Investeringer,IKTPLFIN,IKT-HP - Felles infrastruktur,011634,Fornyelse av sentrale nettverkskomponenter,01,Vedtatt budsjett inneværende år,BY,"0,00","0,00","0,00","2 000 000,00","0,00"
12-15VB,100,Investeringer i anleggsmidler,012000,"INV Annen forbr.matr.,råvarer,tj.",2,"Byrådsavd. for finans, eiendom og eierskap",0213,IKT Drift,EGEN,Bykassen-investeringer egenregi,062354,IKT Drift Intern Konserninnkjøp,16,Administrasjon og fellesfunksjoner,16,Administrasjon og fellesfunksjoner,N,Nei,12000,Administrasjon,IKTINV,IKTHP  - Investeringer,IKTPLFIN,IKT-HP - Felles infrastruktur,011634,Fornyelse av sentrale nettverkskomponenter,31,Diverse endringer,BY,"0,00","0,00","0,00","0,00","0,00"
