"vurderingid";"created";"nettstednavn";"url";"poeng";"maxpoeng";"snittprosent";"stjerner";"tilgang_poeng";"tilgang_maxpoeng";"brukertilpass_poeng";"brukertilpass_maxpoeng";"nyttig_poeng";"nyttig_maxpoeng"
"19014";"06/20/2013 15:28:08";"Direktoratet for byggkvalitet";"http://www.dibk.no";"54";"100";"54";"3";"17";"36";"18";"29";"19";"35"
"18117";"04/13/2013 19:36:33";"Direktoratet for forvaltning og IKT";"http://www.difi.no/";"76";"100";"76";"5";"26";"36";"25";"29";"25";"35"
"18741";"05/28/2013 10:28:18";"Direktoratet for mineralforvaltning (Bergmesteren Svalbard)";"http://www.dirmin.no";"28";"100";"28";"1";"8";"36";"9";"29";"11";"35"
"18743";"05/28/2013 12:22:51";"Direktoratet for nødkommunikasjon";"http://www.dinkom.no/";"64";"100";"64";"4";"24";"36";"26";"29";"14";"35"
"18745";"05/28/2013 13:44:03";"Direktoratet for samfunnssikkerhet og beredskap";"http://www.dsb.no/";"62";"100";"62";"4";"16";"36";"20";"29";"26";"35"
"18746";"05/28/2013 17:11:54";"Direktoratet for utviklingssamarbeid - Norad";"http://www.norad.no/";"64";"100";"64";"4";"20";"36";"18";"29";"26";"35"
"18737";"05/27/2013 11:09:12";"Domstolene i Norge";"http://www.domstol.no/";"57";"100";"57";"3";"25";"36";"15";"29";"17";"35"
"18050";"04/10/2013 12:21:36";"Dovre kommune";"http://www.dovre.kommune.no";"52";"100";"52";"3";"19";"36";"15";"29";"18";"35"
"18732";"05/26/2013 20:47:09";"Drammen kommune";"http://www.drammen.kommune.no/";"69";"100";"69";"4";"25";"36";"25";"29";"19";"35"
"17958";"04/05/2013 08:51:59";"Drangedal kommune";"http://www.drangedal.kommune.no/";"56";"100";"56";"3";"22";"36";"19";"29";"15";"35"
"18126";"04/15/2013 08:17:02";"Dyrøy kommune";"http://www.dyroy.kommune.no";"65";"100";"65";"4";"25";"36";"22";"29";"18";"35"
"18131";"04/15/2013 09:57:43";"Dønna kommune";"http://www.donna.kommune.no/";"59";"100";"59";"4";"28";"36";"21";"29";"10";"35"
"18296";"04/24/2013 12:19:19";"Eid kommune";"http://www.eid.kommune.no/";"54";"100";"54";"3";"19";"36";"15";"29";"20";"35"
"18132";"04/15/2013 10:48:24";"Eide kommune";"http://www.eide.kommune.no/";"69";"100";"69";"4";"33";"36";"17";"29";"19";"35"
"18138";"04/16/2013 08:31:16";"Eidfjord kommune";"http://www.eidfjord.kommune.no";"73";"100";"73";"5";"27";"36";"18";"29";"28";"35"
"17727";"03/16/2013 14:01:10";"Eidsberg kommune";"http://www.eidsberg.kommune.no";"67";"100";"67";"4";"22";"36";"24";"29";"21";"35"
"18139";"04/16/2013 09:51:34";"Eidskog kommune";"http://www.eidskog.kommune.no/";"59";"100";"59";"4";"25";"36";"11";"29";"23";"35"
"17906";"03/28/2013 22:39:54";"Eidsvoll kommune";"http://www.eidsvoll.kommune.no/";"71";"100";"71";"5";"25";"36";"22";"29";"24";"35"
"18140";"04/16/2013 11:17:35";"Eigersund kommune";"http://www.eigersund.kommune.no/";"77";"100";"77";"5";"27";"36";"25";"29";"25";"35"
"18141";"04/16/2013 12:01:43";"Elverum kommune";"http://www.elverum.kommune.no/";"66";"100";"66";"4";"26";"36";"16";"29";"24";"35"
"18142";"04/16/2013 13:17:00";"Enebakk kommune";"http://www.enebakk.kommune.no/";"54";"100";"54";"3";"20";"36";"16";"29";"18";"35"
"18149";"04/18/2013 08:03:17";"Engerdal kommune";"http://www.engerdal.kommune.no/";"59";"100";"59";"4";"21";"36";"17";"29";"21";"35"
"18859";"06/06/2013 16:19:33";"Enøk-sentrene i Norge";"http://www.enok.no/";"44";"100";"44";"3";"11";"36";"10";"29";"23";"35"
"18152";"04/18/2013 10:21:24";"Etne kommune";"http://www.etne.kommune.no/";"67";"100";"67";"4";"27";"36";"22";"29";"18";"35"
"18153";"04/18/2013 12:09:31";"Etnedal kommune";"http://www.etnedal.kommune.no/";"59";"100";"59";"4";"24";"36";"15";"29";"20";"35"
"18196";"04/21/2013 09:35:40";"Evenes kommune";"http://www.evenes.kommune.no";"51";"100";"51";"3";"15";"36";"16";"29";"20";"35"
"18206";"04/21/2013 11:27:25";"Evje og Hornnes kommune";"http://www.e-h.kommune.no";"63";"100";"63";"4";"28";"36";"20";"29";"15";"35"
"17915";"03/30/2013 20:28:24";"Farsund kommune";"http://www.farsund.kommune.no/";"42";"100";"42";"2";"13";"36";"14";"29";"15";"35"
