partinamn;fylkesnr;kommunenr;partitype;valar;stemmer;relativdel;mandat;utbetalingsar;grunnstonad;stemmestotte;totalt
Nedre Eiker Arbeiderparti;6;625;Kommune;2007;4264;44,66;18;2011;1223;54621,84;55844,84
Nedre Eiker Fremskrittsparti;6;625;Kommune;2007;2263;23,7;10;2011;1223;28989,03;30212,03
Nedre Eiker Høyre;6;625;Kommune;2007;1820;19,06;8;2011;1223;23314,2;24537,2
Nedre Eiker KrF;6;625;Kommune;2007;490;5,13;2;2011;1223;6276,9;7499,9
Nedre Eiker Sv;6;625;Kommune;2007;420;4,4;2;2011;1223;5380,2;6603,2
Lier  Arbeiderparti;6;626;Kommune;2007;2725;26,12;13;2011;1223;34907,25;36130,25
Lier Fremskrittsparti;6;626;Kommune;2007;1506;14,43;7;2011;1223;19291,86;20514,86
Lier Høyre;6;626;Kommune;2007;4137;39,65;19;2011;1223;52994,97;54217,97
Lier KrF;6;626;Kommune;2007;325;3,12;2;2011;1223;4163,25;5386,25
Lier Senterparti;6;626;Kommune;2007;579;5,55;3;2011;1223;7416,99;8639,99
Lier Sv;6;626;Kommune;2007;507;4,86;2;2011;1223;6494,67;7717,67
Røyken  Arbeiderparti;6;627;Kommune;2007;2522;30,97;11;2011;1223;32306,82;33529,82
Røyken Fremskrittsparti;6;627;Kommune;2007;1465;17,99;6;2011;1223;18766,65;19989,65
Røyken Høyre;6;627;Kommune;2007;2775;34,08;12;2011;1223;35547,75;36770,75
Røyken KrF;6;627;Kommune;2007;239;2,94;1;2011;1223;3061,59;4284,59
Røyken Senterparti;6;627;Kommune;2007;231;2,84;1;2011;1223;2959,11;4182,11
Røyken Sv;6;627;Kommune;2007;370;4,54;2;2011;1223;4739,7;5962,7
RØYKEN VENSTRE;6;627;Kommune;2007;492;6,04;2;2011;1223;6302,52;7525,52
Hurum  Arbeiderparti;6;628;Kommune;2007;1476;34,98;10;2011;1223;18907,56;20130,56
Hurum Fremskrittsparti;6;628;Kommune;2007;717;16,99;5;2011;1223;9184,77;10407,77
Hurum Høyre;6;628;Kommune;2007;1002;23,74;7;2011;1223;12835,62;14058,62
Hurum KrF;6;628;Kommune;2007;142;3,36;1;2011;1223;1819,02;3042,02
Hurum Senterparti;6;628;Kommune;2007;190;4,5;1;2011;1223;2433,9;3656,9
Hurum Sv;6;628;Kommune;2007;254;6,02;2;2011;1223;3253,74;4476,74
HURUM VENSTRE;6;628;Kommune;2007;406;9,62;3;2011;1223;5200,86;6423,86
Flesberg  Arbeiderparti;6;631;Kommune;2007;349;26,97;6;2011;1223;4470,69;5693,69
Flesberg Fremskrittsparti;6;631;Kommune;2007;291;22,49;5;2011;1223;3727,71;4950,71
Flesberg Høyre;6;631;Kommune;2007;281;21,72;5;2011;1223;3599,61;4822,61
Flesberg Senterparti;6;631;Kommune;2007;295;22,8;5;2011;1223;3778,95;5001,95
Rollag KrF;6;632;Kommune;2007;88;12,54;2;2011;1223;1127,28;2350,28
Rollag og Veggli Arb.parti;6;632;Kommune;2007;388;55,27;10;2011;1223;4970,28;6193,28
Rollag og Veggli Senterparti;6;632;Kommune;2007;226;32,19;5;2011;1223;2895,06;4118,06
Nore og Uvdal Arb.parti;6;633;Kommune;2007;386;30,11;7;2011;1223;4944,66;6167,66
Nore og Uvdal Fremskrittsparti;6;633;Kommune;2007;199;15,52;4;2011;1223;2549,19;3772,19
Nore og Uvdal Høyre;6;633;Kommune;2007;134;10,45;2;2011;1223;1716,54;2939,54
Nore og Uvdal Senterparti;6;633;Kommune;2007;506;39,47;9;2011;1223;6481,86;7704,86
Nore Og Uvdal Sv;6;633;Kommune;2007;57;4,45;1;2011;1223;730,17;1953,17
Demokratene i Vestfold;7;700;Fylke;2007;278;0,28;0;2011;0;8064,78;8064,78
Kystpartiet i Vestfold;7;700;Fylke;2007;223;0,23;0;2011;0;6469,23;6469,23
Miljøpartiet De Grønne;7;700;Fylke;2007;606;0,62;0;2011;0;17580,06;17580,06
Vestfold Arbeiderparti;7;700;Fylke;2007;28573;29,27;12;2011;44708;828902,73;873610,73
Vestfold AUF;7;700;FylkesUngdom;2007;0;0;0;2011;0;261728,68;261728,68
Vestfold Fremskrittpartis Ungdom;7;700;FylkesUngdom;2007;0;0;0;2011;0;200026,92;200026,92
Vestfold Fremskrittsparti;7;700;Fylke;2007;21837;22,37;9;2011;44708;633491,37;678199,37
Vestfold Høyre;7;700;Fylke;2007;22671;23,22;9;2011;44708;657685,71;702393,71
Vestfold Kristelig Folkeparti;7;700;Fylke;2007;5697;5,84;2;2011;44708;165269,97;209977,97
Vestfold Kristelig Folkepartis Ungdom;7;700;FylkesUngdom;2007;0;0;0;2011;0;52184,52;52184,52
Vestfold Rød Ungdom;7;700;FylkesUngdom;2007;0;0;0;2011;0;17028,44;17028,44
Vestfold Rød Valgallianse;7;700;Fylke;2007;1859;1,9;1;2011;44708;53929,59;98637,59
Vestfold Senterparti;7;700;Fylke;2007;4359;4,46;2;2011;44708;126454,59;171162,59
Vestfold Senterungdom;7;700;FylkesUngdom;2007;0;0;0;2011;0;39928,44;39928,44
Vestfold SU;7;700;FylkesUngdom;2007;0;0;0;2011;0;47842,68;47842,68
Vestfold Sv;7;700;Fylke;2007;5223;5,35;2;2011;44708;151519,23;196227,23
Vestfold Unge Høyre;7;700;FylkesUngdom;2007;0;0;0;2011;0;207666,36;207666,36
VESTFOLD UNGE VENSTRE;7;700;FylkesUngdom;2007;0;0;0;2011;0;35568,28;35568,28
VESTFOLD VENSTRE;7;700;Fylke;2007;3883;3,98;2;2011;44708;112645,83;157353,83
Borre Senterparti;7;701;Kommune;2007;292;2,54;1;2011;1223;3740,52;4963,52
Demokratene;7;701;Kommune;2007;78;0,68;0;2011;0;999,18;999,18
Horten Arbeiderparti;7;701;Kommune;2007;4252;37,02;15;2011;1223;54468,12;55691,12
Horten Fremskrittsparti;7;701;Kommune;2007;2191;19,08;8;2011;1223;28066,71;29289,71
Horten KrF;7;701;Kommune;2007;403;3,51;1;2011;1223;5162,43;6385,43
Horten og Borre Høyre;7;701;Kommune;2007;2374;20,67;9;2011;1223;30410,94;31633,94
Horten Rød Valgallianse;7;701;Kommune;2007;736;6,41;3;2011;1223;9428,16;10651,16
Horten Sv;7;701;Kommune;2007;568;4,95;2;2011;1223;7276,08;8499,08
HORTEN VENSTRE;7;701;Kommune;2007;312;2,72;1;2011;1223;3996,72;5219,72
DEMOKRATENE;7;702;Kommune;2007;21;0,47;0;2011;0;269,01;269,01
Holmestrand  Arb.parti;7;702;Kommune;2007;1468;32,74;9;2011;1223;18805,08;20028,08
Holmestrand Fremskrittsparti;7;702;Kommune;2007;491;10,95;3;2011;1223;6289,71;7512,71
Holmestrand Høyre;7;702;Kommune;2007;1122;25,02;6;2011;1223;14372,82;15595,82
Holmestrand Senterparti;7;702;Kommune;2007;265;5,91;2;2011;1223;3394,65;4617,65
Holmestrand Sv;7;702;Kommune;2007;292;6,51;2;2011;1223;3740,52;4963,52
Demokratene;7;704;Kommune;2007;55;0,33;0;2011;0;704,55;704,55
Tønsberg  Arbeiderparti;7;704;Kommune;2007;4175;24,69;10;2011;1223;53481,75;54704,75
Tønsberg & Nøtterøy Sv;7;704;Kommune;2007;1315;7,78;3;2011;1223;16845,15;18068,15
Tønsberg Fremskrittsparti;7;704;Kommune;2007;4890;28,92;12;2011;1223;62640,9;63863,9
Tønsberg Høyre;7;704;Kommune;2007;3490;20,64;8;2011;1223;44706,9;45929,9
Tønsberg KrF;7;704;Kommune;2007;1003;5,93;2;2011;1223;12848,43;14071,43
Tønsberg Senterparti;7;704;Kommune;2007;521;3,08;1;2011;1223;6674,01;7897,01
TØNSBERG VENSTRE;7;704;Kommune;2007;771;4,56;2;2011;1223;9876,51;11099,51
Miljøpartiet De Grønne;7;706;Kommune;2007;139;0,74;0;2011;0;1780,59;1780,59
Sandefjord Arbeiderparti;7;706;Kommune;2007;3197;16,98;7;2011;1223;40953,57;42176,57
Sandefjord Fremskrittsparti;7;706;Kommune;2007;3630;19,28;8;2011;1223;46500,3;47723,3
Sandefjord Høyre;7;706;Kommune;2007;8138;43,23;17;2011;1223;104247,78;105470,78
Sandefjord KrF;7;706;Kommune;2007;883;4,69;2;2011;1223;11311,23;12534,23
Sandefjord Pensjonistparti;7;706;Kommune;2007;498;2,65;1;2011;1223;6379,38;7602,38
Sandefjord Sv;7;706;Kommune;2007;1233;6,55;3;2011;1223;15794,73;17017,73
SANDEFJORD VENSTRE;7;706;Kommune;2007;718;3,81;1;2011;1223;9197,58;10420,58
Larvik  Arbeiderparti;7;709;Kommune;2007;4397;22,87;8;2011;1223;56325,57;57548,57
Larvik Fremskrittsparti;7;709;Kommune;2007;4222;21,96;8;2011;1223;54083,82;55306,82
Larvik Høyre;7;709;Kommune;2007;4488;23,34;9;2011;1223;57491,28;58714,28
Larvik KrF;7;709;Kommune;2007;1092;5,68;2;2011;1223;13988,52;15211,52
Larvik Rød Valgallianse;7;709;Kommune;2007;182;0,95;0;2011;0;2331,42;2331,42
Larvik Senterparti;7;709;Kommune;2007;773;4,02;1;2011;1223;9902,13;11125,13
Larvik Sv;7;709;Kommune;2007;634;3,3;1;2011;1223;8121,54;9344,54
LARVIK VENSTRE;7;709;Kommune;2007;1280;6,66;2;2011;1223;16396,8;17619,8
Svelvik  Arbeiderparti;7;711;Kommune;2007;967;34,03;9;2011;1223;12387,27;13610,27
Svelvik Fremskrittsparti;7;711;Kommune;2007;719;25,3;6;2011;1223;9210,39;10433,39
Svelvik Høyre;7;711;Kommune;2007;900;31,67;8;2011;1223;11529;12752
Svelvik KrF;7;711;Kommune;2007;88;3,1;1;2011;1223;1127,28;2350,28
Sande  Arbeiderparti;7;713;Kommune;2007;1740;46,6;12;2011;1223;22289,4;23512,4
Sande Fremskrittsparti;7;713;Kommune;2007;787;21,08;5;2011;1223;10081,47;11304,47
Sande Høyre;7;713;Kommune;2007;404;10,82;3;2011;1223;5175,24;6398,24
Sande KrF;7;713;Kommune;2007;140;3,75;1;2011;1223;1793,4;3016,4
Sande Senterparti;7;713;Kommune;2007;309;8,28;2;2011;1223;3958,29;5181,29
SANDE VENSTRE;7;713;Kommune;2007;209;5,6;1;2011;1223;2677,29;3900,29
Demokratene;7;714;Kommune;2007;32;2,12;0;2011;0;409,92;409,92
Hof  Arbeiderparti;7;714;Kommune;2007;377;25;4;2011;1223;4829,37;6052,37
Hof Høyre;7;714;Kommune;2007;667;44,23;8;2011;1223;8544,27;9767,27
Hof Senterparti;7;714;Kommune;2007;295;19,56;3;2011;1223;3778,95;5001,95
Hof Sv;7;714;Kommune;2007;137;9,08;2;2011;1223;1754,97;2977,97
DEMOKRATENE;7;716;Kommune;2007;28;0,72;0;2011;0;358,68;358,68
Re Arbeiderparti;7;716;Kommune;2007;673;17,25;5;2011;1223;8621,13;9844,13
Re Fremskrittsparti;7;716;Kommune;2007;813;20,84;5;2011;1223;10414,53;11637,53
Re KrF;7;716;Kommune;2007;369;9,46;2;2011;1223;4726,89;5949,89
Re Senterparti;7;716;Kommune;2007;1270;32,55;8;2011;1223;16268,7;17491,7
Re Sv;7;716;Kommune;2007;151;3,87;1;2011;1223;1934,31;3157,31
RE VENSTRE;7;716;Kommune;2007;149;3,82;1;2011;1223;1908,69;3131,69
Andebu  Arbeiderparti;7;719;Kommune;2007;482;20,4;5;2011;1223;6174,42;7397,42
Andebu Fremskrittsparti;7;719;Kommune;2007;502;21,24;5;2011;1223;6430,62;7653,62
Andebu Høyre;7;719;Kommune;2007;335;14,18;3;2011;1223;4291,35;5514,35
Andebu KrF;7;719;Kommune;2007;362;15,32;4;2011;1223;4637,22;5860,22
Andebu Senterparti;7;719;Kommune;2007;275;11,64;3;2011;1223;3522,75;4745,75
Andebu Sv;7;719;Kommune;2007;163;6,9;2;2011;1223;2088,03;3311,03
ANDEBU VENSTRE;7;719;Kommune;2007;244;10,33;3;2011;1223;3125,64;4348,64
Stokke  Arbeiderparti;7;720;Kommune;2007;1649;35,62;10;2011;1223;21123,69;22346,69
Stokke Fremskrittsparti;7;720;Kommune;2007;866;18,71;6;2011;1223;11093,46;12316,46
Stokke Høyre;7;720;Kommune;2007;993;21,45;6;2011;1223;12720,33;13943,33
Stokke KrF;7;720;Kommune;2007;403;8,71;3;2011;1223;5162,43;6385,43
Stokke Senterparti;7;720;Kommune;2007;333;7,19;2;2011;1223;4265,73;5488,73
Stokke Sv;7;720;Kommune;2007;204;4,41;1;2011;1223;2613,24;3836,24
STOKKE VENSTRE;7;720;Kommune;2007;181;3,91;1;2011;1223;2318,61;3541,61
Felleslista for Solialistisk Venstre og Rød;7;722;Kommune;2007;1236;12,46;5;2011;1223;15833,16;17056,16
Nøtterøy  Arbeiderparti;7;722;Kommune;2007;1860;18,76;8;2011;1223;23826,6;25049,6
Nøtterøy Fremskrittsparti;7;722;Kommune;2007;2294;23,13;9;2011;1223;29386,14;30609,14
Nøtterøy Høyre;7;722;Kommune;2007;3065;30,91;13;2011;1223;39262,65;40485,65
Nøtterøy KrF;7;722;Kommune;2007;512;5,16;2;2011;1223;6558,72;7781,72
Nøtterøy Senterparti;7;722;Kommune;2007;144;1,45;0;2011;0;1844,64;1844,64
NØTTERØY VENSTRE;7;722;Kommune;2007;363;3,66;2;2011;1223;4650,03;5873,03
Tjøme  Arbeiderparti;7;723;Kommune;2007;842;33,82;7;2011;1223;10786,02;12009,02
Tjøme Fremskrittsparti;7;723;Kommune;2007;570;22,89;4;2011;1223;7301,7;8524,7
Tjøme Høyre;7;723;Kommune;2007;354;14,22;3;2011;1223;4534,74;5757,74
Tjøme KrF;7;723;Kommune;2007;78;3,13;0;2011;0;999,18;999,18
TJØME VENSTRE;7;723;Kommune;2007;108;4,34;1;2011;1223;1383,48;2606,48
KRISTELIG FOLKEPARTI;7;728;Kommune;2007;98;7,53;1;2011;1223;1255,38;2478,38
Lardal Arbeiderparti;7;728;Kommune;2007;493;37,86;7;2011;1223;6315,33;7538,33
Lardal Fremskrittsparti;7;728;Kommune;2007;159;12,21;2;2011;1223;2036,79;3259,79
Lardal Høyre;7;728;Kommune;2007;117;8,99;2;2011;1223;1498,77;2721,77
Lardal Senterparti;7;728;Kommune;2007;262;20,12;3;2011;1223;3356,22;4579,22
Lardal Sv;7;728;Kommune;2007;79;6,07;1;2011;1223;1011,99;2234,99
LARDAL VENSTRE;7;728;Kommune;2007;94;7,22;1;2011;1223;1204,14;2427,14
Demokratene i Telemark;8;800;Fylke;2007;118;0,16;0;2011;0;3423,18;3423,18
Kystpartiet i Telemark;8;800;Fylke;2007;95;0,13;0;2011;0;2755,95;2755,95
Rød Valgallianse Telemark;8;800;Fylke;2007;1409;1,9;1;2011;44708;40875,09;85583,09
Telemark Arbeiderparti;8;800;Fylke;2007;27054;36,51;15;2011;44708;784836,54;829544,54
Telemark AUF;8;800;FylkesUngdom;2007;0;0;0;2011;0;247814,64;247814,64
Telemark Fremskrittpartis Ungdom;8;800;FylkesUngdom;2007;0;0;0;2011;0;148630,16;148630,16
Telemark Fremskrittsparti;8;800;Fylke;2007;16226;21,9;9;2011;44708;470716,26;515424,26
Telemark Høyre;8;800;Fylke;2007;8214;11,09;5;2011;44708;238288,14;282996,14
Telemark Kristelig Folkeparti;8;800;Fylke;2007;5897;7,96;3;2011;44708;171071,97;215779,97
Telemark Kristelig Folkepartis Ungdom;8;800;FylkesUngdom;2007;0;0;0;2011;0;54016,52;54016,52
Telemark Rød Ungdom;8;800;FylkesUngdom;2007;0;0;0;2011;0;12906,44;12906,44
Telemark Senterparti;8;800;Fylke;2007;6053;8,17;3;2011;44708;175597,53;220305,53
Telemark Senterungdom;8;800;FylkesUngdom;2007;0;0;0;2011;0;55445,48;55445,48
Telemark SU;8;800;FylkesUngdom;2007;0;0;0;2011;0;43720,68;43720,68
Telemark Sv;8;800;Fylke;2007;4773;6,44;3;2011;44708;138464,73;183172,73
Telemark Unge Høyre;8;800;FylkesUngdom;2007;0;0;0;2011;0;75240,24;75240,24
TELEMARK UNGE VENSTRE;8;800;FylkesUngdom;2007;0;0;0;2011;0;34441,6;34441,6
TELEMARK VENSTRE;8;800;Fylke;2007;3760;5,07;2;2011;44708;109077,6;153785,6
Porsgrunn Arbeiderparti;8;805;Kommune;2007;6215;39,3;19;2011;1223;79614,15;80837,15
Porsgrunn Fremskrittsparti;8;805;Kommune;2007;4329;27,38;13;2011;1223;55454,49;56677,49
Porsgrunn Høyre;8;805;Kommune;2007;1321;8,35;4;2011;1223;16922,01;18145,01
Porsgrunn KrF;8;805;Kommune;2007;890;5,63;3;2011;1223;11400,9;12623,9
Porsgrunn Rød Valgallianse;8;805;Kommune;2007;318;2,01;1;2011;1223;4073,58;5296,58
Porsgrunn Senterparti;8;805;Kommune;2007;260;1,64;1;2011;1223;3330,6;4553,6
Porsgrunn Sv;8;805;Kommune;2007;829;5,24;3;2011;1223;10619,49;11842,49
PORSGRUNN VENSTRE;8;805;Kommune;2007;1228;7,77;4;2011;1223;15730,68;16953,68
Demokratene;8;806;Kommune;2007;44;0,2;0;2011;0;563,64;563,64
Skien  Arbeiderparti;8;806;Kommune;2007;8497;38,54;21;2011;1223;108846,57;110069,57
Skien Fremskrittsparti;8;806;Kommune;2007;5531;25,09;14;2011;1223;70852,11;72075,11
Skien Høyre;8;806;Kommune;2007;2215;10,05;6;2011;1223;28374,15;29597,15
Skien KrF;8;806;Kommune;2007;1892;8,58;5;2011;1223;24236,52;25459,52
Skien Pensjonistparti;8;806;Kommune;2007;186;0,84;0;2011;0;2382,66;2382,66
Skien Rød Valgallianse;8;806;Kommune;2007;310;1,41;1;2011;1223;3971,1;5194,1
Skien Senterparti;8;806;Kommune;2007;593;2,69;1;2011;1223;7596,33;8819,33
Skien Sv;8;806;Kommune;2007;1610;7,3;4;2011;1223;20624,1;21847,1
SKIEN VENSTRE;8;806;Kommune;2007;1171;5,31;3;2011;1223;15000,51;16223,51
Notodden  Arbeidarparti;8;807;Kommune;2007;1531;26,43;11;2011;1223;19612,11;20835,11
Notodden Framstegsparti;8;807;Kommune;2007;906;15,64;6;2011;1223;11605,86;12828,86
Notodden Høgre;8;807;Kommune;2007;533;9,2;4;2011;1223;6827,73;8050,73
Notodden KrF;8;807;Kommune;2007;628;10,84;4;2011;1223;8044,68;9267,68
Notodden Senterparti;8;807;Kommune;2007;383;6,61;3;2011;1223;4906,23;6129,23
NOTODDEN VENSTRE;8;807;Kommune;2007;289;4,99;2;2011;1223;3702,09;4925,09
Solidaritetslista;8;807;Kommune;2007;1523;26,29;11;2011;1223;19509,63;20732,63
FELLESLISTE H, KRF OG V;8;811;Kommune;2007;411;35,9;6;2011;1223;5264,91;6487,91
Siljan  Arbeiderparti;8;811;Kommune;2007;517;45,15;8;2011;1223;6622,77;7845,77
Siljan Senterparti;8;811;Kommune;2007;143;12,49;2;2011;1223;1831,83;3054,83
Siljan Sv;8;811;Kommune;2007;74;6,46;1;2011;1223;947,94;2170,94
Bamble Fremskrittsparti;8;814;Kommune;2007;2386;36,49;10;2011;1223;30564,66;31787,66
Bamble Høyre;8;814;Kommune;2007;523;8;2;2011;1223;6699,63;7922,63
Bamble KrF;8;814;Kommune;2007;481;7,36;2;2011;1223;6161,61;7384,61
Bamble Senterparti;8;814;Kommune;2007;304;4,65;1;2011;1223;3894,24;5117,24
BAMBLE VENSTRE;8;814;Kommune;2007;266;4,07;1;2011;1223;3407,46;4630,46
Fellesliste for RV og SV;8;814;Kommune;2007;389;5,95;2;2011;1223;4983,09;6206,09
Kragerø  Arbeiderparti;8;815;Kommune;2007;1446;27,47;10;2011;1223;18523,26;19746,26
Kragerø Fremskrittsparti;8;815;Kommune;2007;945;17,96;6;2011;1223;12105,45;13328,45
Kragerø Høyre;8;815;Kommune;2007;1140;21,66;8;2011;1223;14603,4;15826,4
Kragerø KrF;8;815;Kommune;2007;327;6,21;2;2011;1223;4188,87;5411,87
Kragerø Rød Valgallianse;8;815;Kommune;2007;318;6,04;2;2011;1223;4073,58;5296,58
Kragerø Senterparti;8;815;Kommune;2007;177;3,36;1;2011;1223;2267,37;3490,37
Kragerø Sv;8;815;Kommune;2007;313;5,95;2;2011;1223;4009,53;5232,53
KRAGERØ VENSTRE;8;815;Kommune;2007;597;11,34;4;2011;1223;7647,57;8870,57
Drangedal  Arbeidarparti;8;817;Kommune;2007;793;40,03;8;2011;1223;10158,33;11381,33
Drangedal Framstegsparti;8;817;Kommune;2007;218;11;2;2011;1223;2792,58;4015,58
Drangedal Høgre;8;817;Kommune;2007;102;5,15;1;2011;1223;1306,62;2529,62
Drangedal KrF;8;817;Kommune;2007;176;8,88;2;2011;1223;2254,56;3477,56
Drangedal Senterparti;8;817;Kommune;2007;241;12,17;3;2011;1223;3087,21;4310,21
Drangedal Sv;8;817;Kommune;2007;175;8,83;2;2011;1223;2241,75;3464,75
DRANGEDAL VENSTRE;8;817;Kommune;2007;276;13,93;3;2011;1223;3535,56;4758,56
Nome  Arbeiderparti;8;819;Kommune;2007;930;29,86;9;2011;1223;11913,3;13136,3
Nome Fremskrittsparti;8;819;Kommune;2007;462;14,83;4;2011;1223;5918,22;7141,22
Nome Høyre;8;819;Kommune;2007;226;7,26;2;2011;1223;2895,06;4118,06
Nome Senterparti;8;819;Kommune;2007;917;29,44;9;2011;1223;11746,77;12969,77
Nome Sv;8;819;Kommune;2007;143;4,59;1;2011;1223;1831,83;3054,83
Bø  Arbeidarparti;8;821;Kommune;2007;743;30,95;7;2011;1223;9517,83;10740,83
Bø Framstegsparti;8;821;Kommune;2007;361;15,04;4;2011;1223;4624,41;5847,41
Bø Høgre;8;821;Kommune;2007;179;7,46;2;2011;1223;2292,99;3515,99
Bø KrF;8;821;Kommune;2007;252;10,5;3;2011;1223;3228,12;4451,12
Bø Senterparti;8;821;Kommune;2007;282;11,75;3;2011;1223;3612,42;4835,42
Bø Sv;8;821;Kommune;2007;230;9,58;2;2011;1223;2946,3;4169,3
BØ VENSTRE;8;821;Kommune;2007;354;14,74;4;2011;1223;4534,74;5757,74
Sauherad  Arbeidarparti;8;822;Kommune;2007;764;39,24;12;2011;1223;9786,84;11009,84
Sauherad Framstegsparti;8;822;Kommune;2007;273;14,02;4;2011;1223;3497,13;4720,13
Sauherad Høgre;8;822;Kommune;2007;169;8,68;3;2011;1223;2164,89;3387,89
Sauherad KrF;8;822;Kommune;2007;208;10,68;3;2011;1223;2664,48;3887,48
Sauherad Senterparti;8;822;Kommune;2007;297;15,25;4;2011;1223;3804,57;5027,57
Sauherad Sv;8;822;Kommune;2007;153;7,86;2;2011;1223;1959,93;3182,93
SAUHERAD VENSTRE;8;822;Kommune;2007;83;4,26;1;2011;1223;1063,23;2286,23
Tinn  Arbeidarparti;8;826;Kommune;2007;1596;49,46;14;2011;1223;20444,76;21667,76
Tinn Framstegsparti;8;826;Kommune;2007;284;8,8;3;2011;1223;3638,04;4861,04
Tinn Høgre;8;826;Kommune;2007;417;12,92;4;2011;1223;5341,77;6564,77
Tinn KrF;8;826;Kommune;2007;81;2,51;1;2011;1223;1037,61;2260,61
Tinn Senterparti;8;826;Kommune;2007;278;8,61;2;2011;1223;3561,18;4784,18
Tinn Sv;8;826;Kommune;2007;178;5,52;2;2011;1223;2280,18;3503,18
Hjartdal  Arbeidarparti;8;827;Kommune;2007;371;43,75;7;2011;1223;4752,51;5975,51
Hjartdal KrF;8;827;Kommune;2007;174;20,52;4;2011;1223;2228,94;3451,94
Hjartdal Senterparti;8;827;Kommune;2007;303;35,73;6;2011;1223;3881,43;5104,43
Seljord  Arbeidarparti;8;828;Kommune;2007;383;27,12;8;2011;1223;4906,23;6129,23
Seljord Framstegsparti;8;828;Kommune;2007;183;12,96;3;2011;1223;2344,23;3567,23
Seljord Høgre;8;828;Kommune;2007;240;17;4;2011;1223;3074,4;4297,4
Seljord KrF;8;828;Kommune;2007;210;14,87;4;2011;1223;2690,1;3913,1
Seljord Senterparti;8;828;Kommune;2007;186;13,17;3;2011;1223;2382,66;3605,66
Seljord Sv;8;828;Kommune;2007;112;7,93;1;2011;1223;1434,72;2657,72
SELJORD VENSTRE;8;828;Kommune;2007;98;6,94;2;2011;1223;1255,38;2478,38
Kviteseid  Arbeidarparti;8;829;Kommune;2007;337;28,51;6;2011;1223;4316,97;5539,97
Kviteseid Høgre;8;829;Kommune;2007;126;10,66;2;2011;1223;1614,06;2837,06
Kviteseid KrF;8;829;Kommune;2007;172;14,55;3;2011;1223;2203,32;3426,32
Kviteseid Senterparti;8;829;Kommune;2007;454;38,41;8;2011;1223;5815,74;7038,74
KVITESEID VENSTRE;8;829;Kommune;2007;93;7,87;2;2011;1223;1191,33;2414,33
Nissedal  Arbeidarparti;8;830;Kommune;2007;177;24,58;4;2011;1223;2267,37;3490,37
Nissedal Framstegsparti;8;830;Kommune;2007;91;12,64;2;2011;1223;1165,71;2388,71
Nissedal Høgre;8;830;Kommune;2007;59;8,19;1;2011;1223;755,79;1978,79
Nissedal KrF;8;830;Kommune;2007;234;32,5;6;2011;1223;2997,54;4220,54
Nissedal Senterparti;8;830;Kommune;2007;159;22,08;4;2011;1223;2036,79;3259,79
Fyresdal  Arbeidarparti;8;831;Kommune;2007;205;29,37;6;2011;1223;2626,05;3849,05
Fyresdal Senterparti;8;831;Kommune;2007;269;38,54;8;2011;1223;3445,89;4668,89
Tokke  Arbeidarparti;8;833;Kommune;2007;492;36,88;8;2011;1223;6302,52;7525,52
Tokke Framstegsparti;8;833;Kommune;2007;72;5,4;1;2011;1223;922,32;2145,32
Tokke Høgre;8;833;Kommune;2007;57;4,27;1;2011;1223;730,17;1953,17
Tokke KrF;8;833;Kommune;2007;87;6,52;1;2011;1223;1114,47;2337,47
Tokke Senterparti;8;833;Kommune;2007;563;42,2;9;2011;1223;7212,03;8435,03
Tokke Sv;8;833;Kommune;2007;63;4,72;1;2011;1223;807,03;2030,03
Vinje  Arbeidarparti;8;834;Kommune;2007;496;28,2;7;2011;1223;6353,76;7576,76
Vinje Framstegsparti;8;834;Kommune;2007;198;11,26;3;2011;1223;2536,38;3759,38
Vinje Høgre;8;834;Kommune;2007;94;5,34;1;2011;1223;1204,14;2427,14
Vinje KrF;8;834;Kommune;2007;117;6,65;2;2011;1223;1498,77;2721,77
Vinje Senterparti;8;834;Kommune;2007;339;19,27;5;2011;1223;4342,59;5565,59
Vinje Sv;8;834;Kommune;2007;475;27;7;2011;1223;6084,75;7307,75
Aust-Agder Arbeiderparti;9;900;Fylke;2007;11607;26,11;9;2011;44708;336719,07;381427,07
Aust-Agder AUF;9;900;FylkesUngdom;2007;0;0;0;2011;0;106320,12;106320,12
Aust-Agder Fremskrittpartis Ungdom;9;900;FylkesUngdom;2007;0;0;0;2011;0;76916,52;76916,52
Aust-Agder Fremskrittsparti;9;900;Fylke;2007;8397;18,89;7;2011;44708;243596,97;288304,97
Aust-Agder Høyre;9;900;Fylke;2007;7670;17,26;6;2011;44708;222506,7;267214,7
Aust-Agder Kristelig Folkeparti;9;900;Fylke;2007;6378;14,35;5;2011;44708;185025,78;229733,78
Aust-Agder Kristelig Folkepartis Ungdom;9;900;FylkesUngdom;2007;0;0;0;2011;0;58422,48;58422,48
Aust-Agder Rød Ungdom;9;900;FylkesUngdom;2007;0;0;0;2011;0;4653,28;4653,28
Aust-Agder Senterparti;9;900;Fylke;2007;3333;7,5;3;2011;44708;96690,33;141398,33
Aust-Agder Senterungdom;9;900;FylkesUngdom;2007;0;0;0;2011;0;30530,28;30530,28
Aust-Agder Sv;9;900;Fylke;2007;2381;5,36;2;2011;44708;69072,81;113780,81
Aust-Agder Unge Høyre;9;900;FylkesUngdom;2007;0;0;0;2011;0;70257,2;70257,2
AUST-AGDER VENSTRE;9;900;Fylke;2007;2944;6,62;2;2011;44708;85405,44;130113,44
