tailid;address1;address2;address3;address4;postalcode;city;country
30744;;;;;8140;Inndyr;Norge
30745;;;;;6040;Vigra;Norge
30746;"Postboks 53";;;;6631;Batnfjordsøra;Norge
30747;"Postboks 53";;;;2031;Nannestad;Norge
30748;"Postboks 55";;;;4951;Risør;Norge
30749;"Postboks 23";;;;4339;Ålgård;Norge
30751;"Postboks 54";;;;2801;Gjøvik;Norge
26433;"Postboks 787";;;;9488;Harstad;Norge
21670;;;;;4389;Vikeså;Norge
21841;"Postboks 54";;;;1901;Fetsund;Norge
21714;"Postboks 1087, 3001 Drammen";;;;;;
26437;"Postboks 3021 Lade";;;;7441;Trondheim;Norge
26438;"Postboks 170";;;;2027;Kjeller;Norge
26440;"Postboks 600";;;;4003;Stavanger;Norge
39102;"Postboks 3223 Elisenberg";;;;0208;Oslo;Norge
43482;Dronningsgt.28;;;;3004;Drammen;Norge
43483;"Dronningsgt. 33";;;;3004;Drammen;Norge
37403;"Postboks 319";;;;8001;Bodø;Norge
38542;"Postboks 8005 Dep.";;;;0030;Oslo;Norge
25384;"Postboks 240";;;;4001;Stavanger;Norge
43484;"Dronningsgt. 28";;;;3004;Drammen;Norge
32226;"Sykehusveien 35";;;;9613;Hammerfest;Norge
33761;"Postboks 1403";;;;8002;Bodø;Norge
43485;"Dronningsgt. 28";;;;3004;Drammen;Norge
34002;"Postboks 804 Sentrum";;;;7408;Trondheim;Norge
24325;"Postboks 145";;;;2480;Koppang;Norge
24088;"Postboks 8103";;;;4068;Stavanger;Norge
24371;"Postboks 24";;;;7259;Snillfjord;Norge
26154;Servicekontoret;;;;7856;Jøa;Norge
25456;"Postboks 83";;;;2401;Elverum;Norge
24996;"Felles postmottak";"Postboks 383";;;2381;Brumunddal;Norge
24765;;;;;7856;Jøa;Norge
38122;;;;;6444;Farstad;Norge
24581;"Kyrkjevegen 19";;;;3580;Geilo;Norge
21648;"Torggården 1";;;;4380;"Hauge i Dalane";Norge
21551;;;;;7353;Børsa;Norge
24615;"Postboks 2412";;;;3104;Tønsberg;Norge
23920;"Postboks 1073, Valaskjold";;;;1705;Sarpsborg;Norge
24265;"Postboks 8103";;;;4068;Stavanger;Norge
24001;"Postboks 8103";;;;4068;Stavanger;Norge
23927;"Postboks 2060";;;;6402;Molde;Norge
24681;"Postboks 6310";;;;9293;Tromsø;Norge
23996;"Postboks 2060";;;;6402;Molde;Norge
24131;"Postboks 2060";;;;6402;Molde;Norge
32461;"Georgernes verft 12";;;;5011;Bergen;Norge
32481;"Postboks 102";;;;6151;Ørsta;Norge
32541;"Arbinsgate 4";;;;0253;Oslo;Norge
32564;"Pilestredet Park 7";;;;0176;Oslo;Norge
32581;"Postboks 102";;;;6801;Førde;Norge
32585;"Fylkeshuset, 6404 Molde";;;;;;
32586;"Sjøgata 3";;;;8006;Bodø;Norge
32587;"Postboks 2443";;;;9272;Tromsø;Norge
32588;"Postboks 108";;;;9615;Hammerfest;Norge
32589;"Postboks 173";;;;3603;Kongsberg;Norge
32590;"Bjørnsgate 1";;;;5008;Bergen;Norge
32591;"Schweigaardsgate 11";;;;3717;Skien;Norge
32592;"Postboks 4090 Bedriftssenteret";;;;2306;Hamar;Norge
32593;"Postboks 4034";;;;7726;Steinkjer;Norge
32594;"Postboks 988";;;;2626;Lillehammer;Norge
32595;"Postboks 205 Sentrum";;;;4001;Stavanger;Norge
32596;"Postboks 9450 Sluppen";;;;7495;Trondheim;Norge
32598;"Oscar Pedersensvei 39";;;;1701;Sarpsborg;Norge
32599;"Postboks 24";;;;4801;Arendal;Norge
32600;"Postboks 519";;;;4605;Kristiansand;Norge
24423;"Postboks 1073 Valaskjold";;;;1705;Sarpsborg;Norge
23163;"Postboks 94";;;;1441;Drøbak;Norge
40444;"Postboks 2412";;;;3104;Tønsberg;Norge
40445;"Postboks 2412";;;;3104;Tønsberg;Norge
43303;"Serviceboks 1000";;;;6807;Førde;Norge
27067;"Stortorvet 10";;;;0155;Oslo;Norge
43702;"Tyinvegen 27";;;;2900;Fagernes;Norge
40422;"Postboks 824";;;;3007;Drammen;Norge
43444;"Mathias Topps veg 15";;;;2821;Gjøvik;Norge
43446;"Postboks 187";;;;2317;Hamar;Norge
43447;"Postboks 187";;;;2317;Hamar;Norge
43448;"Postboks 187";;;;2317;Hamar;Norge
43462;"Serviceboks 605";;;;4809;Arendal;Norge
43463;"Serviceboks 416";;;;4604;Kristiansand;Norge
43464;"Serviceboks 416";;;;4604;Kristiansand;Norge
43465;"Storgata 25";;;;4550;Farsund;Norge
43466;"Engvald Hansens vei 6";;;;4400;Flekkefjord;Norge
25323;;;;;9917;Kirkenes;Norge
25325;"Rådhusveien 3";;;;9845;Tana;Norge
25312;"Postboks 2923 Solli";;;;0230;Oslo;Norge
25315;;;;;9444;"Hol i Tjeldsund";Norge
25342;"Postboks 304";;;;5402;Stord;Norge
28466;"Postboks 1480";;;;8092;Bodø;Norge
37962;"Postboks 24 Sandsli";;;;5861;Bergen;Norge
23627;"Postboks 2674 Solli";;;;0203;Oslo;Norge
28477;"Postboks 2483 Solheimsviken";;;;5824;Bergen;Norge
28478;"Postboks 466 Sentrum";;;;5805;Bergen;Norge
28485;"Dronningens gtate11";;;;0152;Oslo;Norge
28494;"Storgata 40";;;;0182;Oslo;Norge
28520;"Postboks 2364 Solli";;;;0201;Oslo;Norge
