tailid,address1,address2,address3,address4,postalcode,city,country
22841,,,,,4754,Bykle,Norge
22842,Postboks 224,,,,4553,Farsund,Norge
22843,Serviceboks 517,,,,4605,Kristiansand,Norge
22844,,,,,4529,Byremo,Norge
22845,Kirkegaten 50,,,,4400,Flekkefjord,Norge
22846,,,,,4596,Eiken,Norge
22847,Postboks 476,,,,4664,Kristiansand,Norge
22848,Postboks 203,,,,4491,Kvinesdal,Norge
22849,Postboks 1133,,,,3905,Porsgrunn,Norge
22850,,,,,3810,Gvarv,Norge
22851,Brøløsvegen 13 A,,,,3840,Seljord,Norge
22852,Opdalsveien 35,,,,3748,Siljan,Norge
22853,Postboks 349,,,,3701,Skien,Norge
22854,Postboks 93,,,,3661,Rjukan,Norge
22855,,,,,3880,Dalen,Norge
22861,Postboks 23,,,,3162,Andebu,Norge
22862,Postboks 73,,,,3090,Hof,Norge
22863,Postboks 312,,,,3081,Holmestrand,Norge
22864,Postboks 195,,,,3192,Horten,Norge
22865,Svarstadtunet 15,,,,3275,Svarstad,Norge
22866,Postboks 2020,,,,3255,Larvik,Norge
22868,Postboks 300,,,,3071,Sande,Norge
22869,Postboks 2025,,,,3202,Sandefjord,Norge
22870,Postboks 124,,,,3161,Stokke,Norge
22871,Postboks 40,,,,3061,Svelvik,Norge
22872,Rødsgata 36,,,,3145,Tjøme,Norge
34901,Postboks 8026 Dep,,,,0030,Oslo,Norge
21287,Sykehusveien 35,,,,9615,Hammerfest,Norge
21366,Sjukehusvegen 1,,,,5750,Odda,Norge
21319,Postboks 3250 Sluppen,,,,7006,Trondheim,Norge
21414,Postboks 49,,,,5401,Stord,Norge
21417,Postboks 36,,,,5701,Voss,Norge
21385,Postboks 325,,,,6802,Førde,Norge
21359,Postboks 65,,,,6771,Nordfjordeid,Norge
24194,Postboks 13,,,,2831,Raufoss,Norge
24196,Postboks 93,,,,8376,Leknes,Norge
24198,,,,,8976,Vevelstad,Norge
24200,Postboks 93,,,,6891,Vik i Sogn,Norge
24201,"Postboks 133, Sentrum",,,,7901,Rørvik,Norge
24203,Postboks 3,,,,5589,Sandeid,Norge
24209,,,,,2975,Vang i Valdres,Norge
24216,Postboks 6310,,,,9293,Tromsø,Norge
24220,Postboks 83,,,,8591,Kjøpsvik,Norge
24221,,,,,5685,Uggdal,Norge
24222,Postboks 53,,,,5575,Aksdal,Norge
24224,Postboks 499,,,,2051,Jessheim,Norge
24226,Postboks 323 Alnabru,,,,0614,Oslo,Norge
24228,Skeiesvegen 3,,,,5730,Ulvik,Norge
24229,Rådhuset,,,,9840,Varangerbotn,Norge
24231,Postboks 3,,,,5547,Utsira,Norge
24232,Postboks 609,,,,9811,Vadsø,Norge
24233,Konsul Jebsensgt 16,,,,5722,Dalekvam,Norge
24238,Edvard Storms veg 2,,,,2680,Vågå,Norge
24239,,,,,2436,Våler i Solør,Norge
24240,Rådhusgata 21,,,,8430,Myre,Norge
24242,Postboks 2412,,,,3104,Tønsberg,Norge
24243,,,,,3145,Tjøme,Norge
24244,Sentrumsbygget,,,,3880,Dalen,Norge
24245,Kommunehuset,,,,2540,Tolga,Norge
24246,,,,,9380,Gryllefjord,Norge
24248,,,,,9290,Tromsø,Norge
24255,Postboks 10,,,,8770,Træna,Norge
24259,Postboks 2060,,,,6402,Molde,Norge
24268,,,,,8063,Værøy,Norge
24270,,,,,9310,Sørreisa,Norge
31001,Postuttak,,,,2001,Lillestrøm,Norge
31002,Postboks 3390,,,,1402,Ski,Norge
31003,Postboks 47,,,,3701,Skien,Norge
31004,Postboks 200,,,,1801,Askim,Norge
31006,Postboks 25,,,,9189,Skjervøy,Norge
31007,,,,,2690,Skjåk,Norge
31008,Postboks 233,,,,6249,Ørskog,Norge
31009,,,,,9440,Evenskjer,Norge
31010,Postboks 4,,,,6571,Smøla,Norge
31011,,,,,7200,Kyrksæterøra,Norge
31012,,,,,7760,Snåsa,Norge
31013,Postboks 12,,,,6851,Sogndal,Norge
31014,Torggården 1,,,,4380,Hauge i Dalane,Norge
31015,Postboks 146,,,,4097,Sola,Norge
31016,,,,,5966,Eivindvik,Norge
31017,Postboks 5,,,,4684,Brennåsen,Norge
31018,,,,,8400,Sortland,Norge
31019,Postboks 200,,,,1801,Askim,Norge
31020,Storgata 35,,,,2335,Stange,Norge
31021,Postboks 199 Sentrum,,,,4001,Stavanger,Norge
31022,Postboks 46,,,,8281,Leinesfjord,Norge
31023,Postboks 2620,,,,7734,Steinkjer,Norge
31024,Postboks 3,,,,7501,Stjørdal,Norge
31026,Postboks 64,,,,5401,Stord,Norge
31027,Postboks 233,,,,6249,Ørskog,Norge
31029,Postboks 78,,,,2480,Koppang,Norge
31030,,,,,9142,Skibotn,Norge
31031,Direktør Poulsonsgate 1,,,,4100,Jørpeland,Norge
31032,Postboks 104,,,,6201,Stranda,Norge
31033,Postboks 175,,,,6781,Stryn,Norge
22453,Postboks 169,,,,1701,Sarpsborg,Norge
22455,Boks 510,,,,1301,Sandvika,Norge
22459,Postboks 534,,,,2201,Kongsvinger,Norge
22462,Skoletorget 6 D,,,,2609,Lillehammer,Norge
22468,Postboks 152,,,,3550,Gol,Norge
22425,Postboks 335,,,,3101,Tønsberg,Norge
22428,Postboks 434,,,,4664,Kristiansand,Norge
22431,Postboks 728 Sentrum,,,,5807,Bergen,Norge
22405,Postboks 188,,,,6901,Florø,Norge
22489,Thomas Heftyes gt. 24,,,,0244,Oslo,Norge
22438,,,,,0244,Oslo,Norge
22482,Drammensveien 126B,,,,0277,Oslo,Norge
22483,Sophus Lies gate 3,,,,0244,Oslo,Norge
27053,Frognerstranda 4,,,,0250,Oslo,Norge
22470,Olav Kyrres gate 7,,,,0244,Oslo,Norge
22474,Eckersbergs gate 20,,,,0244,Oslo,Norge
22478,,,,,0244,Oslo,Norge
22528,Postboks 694,,,,4305,Sandnes,Norge
22564,Postboks 553,,,,9171,Longyearbyen,Norge
22566,Postboks 7808,,,,5020,Bergen,Norge
22548,Postboks 85,,,,2027,Kjeller,Norge
22550,Postboks 187,,,,2802,Gjøvik,Norge
22554,Postboks 2423,,,,3104,Tønsberg,Norge
22572,Postboks 68,,,,9439,Evenskjer,Norge
22575,Postboks 27,,,,9380,Gryllefjord,Norge
22578,Postboks 615,,,,9811,Vadsø,Norge
22581,Postboks 173,,,,9981,Berlevåg,Norge
22569,Postboks 183,,,,9156,Storslett,Norge
22619,,,,,9130,Hansnes,Norge
22621,,,,,9161,Burfjord,Norge
22636,Postboks 83,,,,8469,Bø i Vesterålen,Norge
22642,,,,,8680,Trofors,Norge
22647,Postboks 23,,,,8851,Herøy,Norge
22651,,,,,8410,Lødingen,Norge
22632,Rådhuset,,,,7980,Terråk,Norge
22667,Vennaliveien 13,,,,7670,Inderøy,Norge
22670,Postboks 113,,,,7600,Levanger,Norge
22677,Postboks 130,,,,7971,Kolvereid,Norge
22681,Bogavegen 10,,,,7725,Steinkjer,Norge
22685,Postboks 124,,,,8502,Narvik,Norge
22662,Postboks 24,,,,8546,Ballangen,Norge
22664,,,,,7633,Frosta,Norge
43403,,,,,1603,Fredrikstad,Norge
43404,,,,,1603,Fredrikstad,Norge
43405,Postboks 426,,,,1502,Moss,Norge
28307,Smistadgrenda 1,,,,7026,Trondheim,Norge
28308,Vagleleiren,,,,4323,Sandnes,Norge
28309,Starumvegen 86,,,,2850,Lena,Norge
43422,Postboks 355,,,,1702,Sarpsborg,Norge
28312,Postboks 7418,,,,5020,Bergen,Norge
43423,Postboks 2325,,,,3103,Tønsberg,Norge
28316,Blvd. Léopold III,B-1110 Bruxelles,,,,,Belgia
28318,"11th floor, ISR Plaza",69  Nizami street,,,1000,Baku,Norge
28328,ARWA house,City Center,Private bag B323,Lilongwe 3,,,Malawi
28340,Postboks 6726 St.Olavs plass,,,,0130,Oslo,Norge
23710,Postboks 521Sentrum,,,,9255,Tromsø,Norge
27282,,,,,9037,Tromsø,Norge
27285,Larkollveien 9,,,,1570,Dilling,Norge
27286,Postboks 2684,St. Hanshaugen,,,0131,Oslo,Norge
27287,Postboks 2128 Grünerløkka,,,,0505,Oslo,Norge
27299,Markegata 51,,,,6900,Florø,Norge
27365,P.O. Box 20765,Kathmandu,,,,,Nepal
27367,Postboks 154,,,,6851,Sogndal,Norge
