aar,video_url,kommune,tittel,tema,hva_er_spesielt,folelse,antrekk,type_bygg_og_industri,type_historisk,type_natur_og_idrett,type_kunst_og_haandverk,type_idrett_og_fysisk_aktivitet,tema_samlere_entusiaster_og_oppfinnere,tema_vitenskap,relasjoner,type_musikere,type_mat,type_dyr,antall_menn,antall_kvinner,tema_natur_og_friluftsliv,tema_kjop_og_salg,type_landbruk_og_fiske,offentlige_tjenester_og_veldedighet,hovedperson1_kjonn,hovedperson2_kjonn,hovedperson3_kjonn,hovedperson1_alder,hovedperson2_alder,hovedperson3_alder,tema_politikk_og_media
1977,https://tv.nrk.no/serie/norge-rundt/FREP41009077/19-02-1977#t=22m25s,Lillehammer,Foran VM i skiskyting,Idrett og fysisk aktivitet,,,,,,,,Skiskyting,,,,,,,10,7,,,,,Mann,Mann,Kvinne,30 til 40,40 til 50,30 til 40,
1977,https://tv.nrk.no/serie/norge-rundt/FREP41009077/19-02-1977#t=29m55s,Tromsø,Kunder styrer butikken,Offentlige tjenester og veldedighet,,,,,,,,,,,,,,,2,3,,,,Dugnad,Mann,Kvinne,,50 til 60,30 til 40,,
1977,https://tv.nrk.no/serie/norge-rundt/FREP41009177/05-03-1977#t=1m55s,Bergen,Vannmangel,Offentlige tjenester og veldedighet,,,"Caps, Hatt, Kjeledress, Skinnlue, Slips",,,,,,,,,,,,10,5,,,,,Mann,Mann,Mann,40 til 50,50 til 60,40 til 50,
1977,https://tv.nrk.no/serie/norge-rundt/FREP41009177/05-03-1977#t=9m33s,Rygge,Hemmelige Østfold,Offentlige tjenester og veldedighet,,,Skinnlue,,,,,,,,,,,,1,2,,,,Forsvaret,Kvinne,Kvinne,Mann,5 til 10,20 til 30,40 til 50,
1977,https://tv.nrk.no/serie/norge-rundt/FREP41009177/05-03-1977#t=13m12s,Alta,Tømmerhogst,Landbruk og fiske,,,"Caps, Skinnlue",,,,,,,,,,,,1,,,,Skogsdrift,,Mann,Mann,,50 til 60,40 til 50,,
1977,https://tv.nrk.no/serie/norge-rundt/FREP41009177/05-03-1977#t=18m7s,Lillesand,Bruk av fluor,Offentlige tjenester og veldedighet,,,,,,,,,,,,,,,2,2,,,,Helsetjenester,Mann,,,30 til 40,,,
1977,https://tv.nrk.no/serie/norge-rundt/FREP41009177/05-03-1977#t=23m31s,Ringerike,"Svære snømengder, rådyr fores",Dyr,,,Busserull,,,,,,,,,,,"Menneske hjelper dyr, Rådyr",6,5,,,,,Mann,Kvinne,Kvinne,30 til 40,10 til 15,10 til 15,
1977,https://tv.nrk.no/serie/norge-rundt/FREP41009177/05-03-1977#t=30m5s,Elverum,Grundsetmart'n,Ukategoriserbart,,,"Hatt, Skinnlue",,,,,,,,,,,,3,1,,,,,Mann,Kvinne,,80 til 90,30 til 40,,
1977,https://tv.nrk.no/serie/norge-rundt/FREP41009277/19-03-1977#t=0s,Fauske,Planlagt helsesportsenter,Offentlige tjenester og veldedighet,,,,,,,,,,,,,,,1,,,,,Helsetjenester,Mann,Mann,,40 til 50,40 til 50,,
1977,https://tv.nrk.no/serie/norge-rundt/FREP41009277/19-03-1977#t=3m23s,Øystre Slidre,Helsesportsenter,Offentlige tjenester og veldedighet,,,,,,,,,,,,,,,10,10,,,,Helsetjenester,Kvinne,Mann,,,40 til 50,,
