tailid;intcode;phone;phonecomment;type
21567;+47;71 68 98 00;;Telefon
21568;+47;02800;;Telefon
21568;+47;71 65 87 50;;Telefon
21569;+47;02800;;Telefon
21569;+47;71 53 18 50;;Telefon
21570;+47;02800;;Telefon
21570;+47;72 48 38 70;;Telefon
21571;+47;02800;;Telefon
21571;+47;57 72 37 00;;Telefon
21572;+47;02800;;Telefon
21572;+47;57 71 86 70;;Telefon
21573;+47;02800;;Telefon
21573;+47;57 86 86 20;;Telefon
21575;+47;02800;;Telefon
21575;+47;57 72 63 70;;Telefon
21576;+47;02800;;Telefon
21577;+47;02800;;Telefon
21577;+47;57 87 36 80;;Telefon
21578;+47;02800;;Telefon
21578;+47;57 85 49 70;;Telefon
21579;+47;02800;;Telefon
21579;+47;70 11 87 00;;Telefon
21580;+47;02800;;Telefon
21580;+47;70 11 87 00;;Telefon
21581;+47;02800;;Telefon
21581;+47;70 11 87 00;;Telefon
21582;+47;02800;;Telefon
21582;+47;70 11 87 00;;Telefon
21583;+47;02800;;Telefon
21583;+47;70 11 87 00;;Telefon
21584;+47;02800;;Telefon
21584;+47;70 11 87 00;;Telefon
21585;+47;02800;;Telefon
21585;+47;70 11 87 00;;Telefon
21586;+47;02800;;Telefon
21586;+47;70 11 87 00;;Telefon
21587;+47;02800;;Telefon
21587;+47;70 02 29 70;;Telefon
21588;+47;02800;;Telefon
21588;+47;70 11 87 00;;Telefon
21589;+47;02800;;Telefon
21589;+47;70 11 87 00;;Telefon
21590;+47;02800;;Telefon
21590;+47;70 11 87 00;;Telefon
21591;+47;02800;;Telefon
21591;+47;71 58 90 00;;Telefon
21592;+47;02800;;Telefon
21592;+47;71 26 67 12;;Telefon
21593;+47;02800;;Telefon
21593;+47;71 23 14 70;;Telefon
21594;+47;02800;;Telefon
21594;+47;71 22 47 60;;Telefon
21595;+47;02800;;Telefon
21595;+47;71 17 19 50;;Telefon
21596;+47;02800;;Telefon
21596;+47;70 11 87 00;;Telefon
21597;+47;02800;;Telefon
21597;+47;71 58 90 00;;Telefon
21598;+47;02800;;Telefon
21598;+47;71 64 40 00;;Telefon
21599;+47;02800;;Telefon
21599;+47;71 51 39 80;;Telefon
21600;+47;02800;;Telefon
21600;+47;71 29 13 60;;Telefon
21601;+47;02800;;Telefon
21601;+47;71 55 99 50;;Telefon
21602;+47;02800;;Telefon
21602;+47;57 73 30 60;;Telefon
21603;+47;02800;;Telefon
21603;+47;57 79 66 30;;Telefon
21604;+47;02800;;Telefon
21604;+47;57 86 34 80;;Telefon
21605;+47;02800;;Telefon
21605;+47;57 73 99 50;;Telefon
21606;+47;02800;;Telefon
21606;+47;56 16 31 80;;Telefon
21607;+47;02800;;Telefon
21607;+47;56 30 39 00;;Telefon
21608;+47;02800;;Telefon
21608;+47;56 19 45 00;;Telefon
21611;+47;02800;;Telefon
21611;+47;53 40 28 00;;Telefon
21612;+47;02800;;Telefon
21612;+47;53 74 25 00;;Telefon
21614;+47;02800;;Telefon
21614;+47;56 59 40 20;;Telefon
21615;+47;02800;;Telefon
21615;+47;56 52 87 00;;Telefon
21618;+47;02800;;Telefon
21618;+47;55 51 85 00;;Telefon
21621;+47;02800;;Telefon
21621;+47;55 25 55 00;;Telefon
21622;+47;02800;;Telefon
21622;+47;55 91 91 00;;Telefon
21625;+47;02800;;Telefon
21625;+47;57 63 26 30;;Telefon
21626;+47;02800;;Telefon
21626;+47;57 69 48 70;;Telefon
21627;+47;02800;;Telefon
21627;+47;57 78 13 00;;Telefon
21628;+47;02800;;Telefon
21628;+47;57 78 95 60;;Telefon
21629;+47;02800;;Telefon
21629;+47;57 71 45 70;;Telefon
21631;+47;02800;;Telefon
21631;+47;57 68 22 20;;Telefon
21632;+47;02800;;Telefon
21632;+47;57 66 99 00;;Telefon
21633;+47;02800;;Telefon
21634;+47;02800;;Telefon
21634;+47;57 77 10 00;;Telefon
21635;+47;02800;;Telefon
21635;+47;57 69 80 80;;Telefon
21636;+47;02800;;Telefon
21636;+47;57 64 87 80;;Telefon
21637;+47;02800;;Telefon
21637;+47;57 75 88 18;;Telefon
21638;+47;02800;;Telefon
21638;+47;56 31 58 00;;Telefon
21639;+47;02800;;Telefon
21639;+47;53 43 81 00;;Telefon
21640;+47;02800;;Telefon
21640;+47;53 48 38 00;;Telefon
21641;+47;02800;;Telefon
21641;+47;56 35 56 70;;Telefon
21643;+47;02800;;Telefon
21643;+47;51 61 25 50;;Telefon
21644;+47;02800;;Telefon
21644;+47;51 79 87 70;;Telefon
21645;+47;02800;;Telefon
21645;+47;51 78 66 50;;Telefon
21646;+47;02800;;Telefon
21646;+47;51 40 55 50;;Telefon
21648;+47;02800;;Telefon
21648;+47;51 47 43 00;;Telefon
21649;+47;02800;;Telefon
