vurderingid;created;nettstednavn;url;poeng;maxpoeng;snittprosent;stjerner;tilgang_poeng;tilgang_maxpoeng;brukertilpass_poeng;brukertilpass_maxpoeng;nyttig_poeng;nyttig_maxpoeng
16145;09/29/2011 11:12:14;Lavangen kommune;http://www.lavangen.kommune.no;53;93;57;3;18;28;24;30;11;35
16146;09/29/2011 12:54:07;Lebesby kommune;http://www.lebesby.kommune.no;48;93;52;3;16;28;21;30;11;35
15702;09/16/2011 10:28:46;Leikanger kommune;http://www.leikanger.kommune.no;78;93;84;6;25;28;26;30;27;35
16147;09/29/2011 14:08:53;Leirfjord kommune;http://www.leirfjord.kommune.no/;29;93;31;2;7;28;15;30;7;35
16149;09/29/2011 16:35:46;Leka kommune;http://www.leka.kommune.no/;23;93;25;1;7;28;12;30;4;35
15164;08/24/2011 15:08:48;Leksvik kommune;http://www.leksvik.kommune.no/;53;93;57;3;15;28;23;30;15;35
16155;09/29/2011 20:17:32;Lenvik kommune;http://www.lenvik.kommune.no/;64;93;69;4;20;28;21;30;23;35
16156;09/29/2011 21:27:04;Lesja kommune;http://www.lesja.kommune.no;41;93;44;3;9;28;12;30;20;35
15700;09/16/2011 10:16:23;Levanger kommune;http://www.levanger.kommune.no/;72;93;77;5;20;28;20;30;32;35
17068;10/22/2011 14:32:58;Lier kommune;http://www.lier.kommune.no/;62;93;67;4;26;28;15;30;21;35
16165;09/30/2011 07:37:41;Lierne kommune;http://www.lierne.kommune.no/;56;93;60;4;15;28;15;30;26;35
16385;10/07/2011 14:24:11;Likestillings- og diskrimineringsombudet;http://www.ldo.no/;74;93;80;6;23;28;24;30;27;35
16116;09/28/2011 12:27:18;Lillehammer kommune;http://www.lillehammer.kommune.no/;69;93;74;5;21;28;24;30;24;35
15547;09/11/2011 15:13:24;Lillesand kommune;http://www.lillesand.kommune.no/;71;93;76;5;23;28;22;30;26;35
16166;09/30/2011 09:04:15;Lindesnes kommune;http://www.lindesnes.kommune.no/;50;93;54;3;14;28;21;30;15;35
16167;09/30/2011 10:54:16;Lindås kommune;http://www.lindas.kommune.no/;53;93;57;3;20;28;8;30;25;35
16175;09/30/2011 13:44:52;Lom kommune;http://lom.kommune.no;83;93;89;6;26;28;27;30;30;35
17016;10/22/2011 00:08:28;Longyearbyen lokalstyre;http://www.lokalstyre.no/ ;45;93;48;3;8;28;18;30;19;35
16185;09/30/2011 16:10:06;Loppa kommune;http://www.loppa.kommune.no/;60;93;65;4;17;28;21;30;22;35
17125;10/23/2011 10:06:37;Lotteri- og stiftelsestilsynet;http://www.lotteritilsynet.no/;58;93;62;4;16;28;26;30;16;35
16578;10/12/2011 11:11:46;Lovdata;http://www.lovdata.no/;47;93;51;3;8;28;17;30;22;35
16555;10/11/2011 15:28:22;Luftfartstilsynet;http://www.luftfartstilsynet.no/;52;93;56;3;9;28;19;30;24;35
15697;09/16/2011 10:15:33;Lund kommune;http://www.lund.kommune.no/;44;93;47;3;10;28;18;30;16;35
16186;09/30/2011 17:40:40;Lunner kommune;http://www.lunner.kommune.no;66;93;71;5;21;28;20;30;25;35
16195;09/30/2011 22:03:55;Lurøy kommune;http://www.luroy.kommune.no/;35;93;38;2;18;28;9;30;8;35
15703;09/16/2011 10:28:51;Luster kommune;http://www.luster.kommune.no/;80;93;86;6;26;28;23;30;31;35
15500;09/07/2011 13:59:04;Lyngdal kommune;http://www.lyngdal.kommune.no/;49;93;53;3;9;28;17;30;23;35
15580;09/12/2011 12:57:04;Lyngen kommune;http://www.lyngen.kommune.no/;69;93;74;5;21;28;21;30;27;35
15705;09/16/2011 10:28:59;Lærdal kommune;http://www.laerdal.kommune.no/;66;93;71;5;22;28;25;30;19;35
16205;10/01/2011 08:23:57;Lødingen kommune;http://www.lodingen.kommune.no/;52;93;56;3;20;28;22;30;10;35
16738;10/15/2011 22:15:34;Lørenskog kommune;http://www.lorenskog.kommune.no/;71;93;76;5;22;28;20;30;29;35
15795;09/19/2011 17:07:01;Løten kommune;http://www.loten.kommune.no/;54;93;58;4;15;28;15;30;24;35
16206;10/01/2011 10:01:16;Malvik kommune;http://www.malvik.kommune.no;67;93;72;5;19;28;21;30;27;35
16207;10/01/2011 11:32:30;Mandal kommune;http://www.mandal.kommune.no/;52;93;56;3;11;28;15;30;26;35
16551;10/11/2011 13:49:12;Markedsrådet;http://www.markedsradet.no/;40;93;43;3;13;28;16;30;11;35
15802;09/19/2011 17:21:22;Marker kommune;http://www.marker.kommune.no;73;93;78;5;19;28;23;30;31;35
16215;10/01/2011 15:12:28;Marnardal kommune;http://www.marnardal.kommune.no/;51;93;55;3;13;28;18;30;20;35
16216;10/01/2011 17:19:09;Masfjorden kommune;http://www.masfjorden.kommune.no/;62;93;67;4;22;28;19;30;21;35
16582;10/12/2011 12:55:33;Matportalen.no;http://matportalen.no/;84;93;90;6;26;28;25;30;33;35
16005;09/24/2011 16:58:36;Mattilsynet;http://www.mattilsynet.no/;51;93;55;3;8;28;20;30;23;35
16015;09/24/2011 19:00:12;Medietilsynet;http://www.medietilsynet.no/;55;93;59;4;15;28;23;30;17;35
16225;10/01/2011 20:13:47;Meland kommune;http://www.meland.kommune.no/;49;93;53;3;17;28;12;30;20;35
16226;10/01/2011 23:29:42;Meldal kommune;http://www.meldal.kommune.no/;34;93;37;2;9;28;14;30;11;35
16235;10/02/2011 09:36:33;Melhus kommune;http://www.melhus.kommune.no/;48;93;52;3;12;28;15;30;21;35
16236;10/02/2011 10:53:47;Meløy kommune;http://www.meloy.kommune.no/;74;93;80;6;20;28;22;30;32;35
15168;08/24/2011 15:21:49;Meråker kommune;http://www.meraker.kommune.no/;42;93;45;3;5;28;18;30;19;35
16245;10/02/2011 13:50:37;Midsund kommune;http://www.midsund.kommune.no/;47;93;51;3;18;28;20;30;9;35
16246;10/02/2011 15:00:44;Midtre Gauldal kommune;http://www.midtre-gauldal.kommune.no;46;93;49;3;18;28;15;30;13;35
15075;08/22/2011 14:02:59;Miljødirektoratet;http://www.miljodirektoratet.no/;77;93;83;6;24;28;25;30;28;35
16976;10/21/2011 17:53:45;Miljøverndepartementet;http://www.regjeringen.no/nb/dep/md;71;93;76;5;24;28;25;30;22;35
16247;10/02/2011 16:52:35;Modalen kommune;http://www.modalen.kommune.no/;47;93;51;3;14;28;15;30;18;35
16248;10/02/2011 18:40:41;Modum kommune;http://www.modum.kommune.no/;70;93;75;5;25;28;21;30;24;35
16249;10/02/2011 20:27:44;Molde kommune;http://www.molde.kommune.no/;64;93;69;4;12;28;21;30;31;35
15890;09/22/2011 15:02:38;Moskenes kommune;http://www.moskenes.kommune.no;23;93;25;1;9;28;7;30;7;35
16255;10/03/2011 07:33:24;Moss kommune;http://www.moss.kommune.no/;62;93;67;4;20;28;20;30;22;35
16277;10/03/2011 14:19:03;Møre og Romsdal fylkeskommune;http://www.mrfylke.no;52;93;56;3;21;28;19;30;12;35
16281;10/03/2011 17:47:09;Målselv kommune;http://www.malselv.kommune.no;50;93;54;3;18;28;19;30;13;35
15806;09/19/2011 20:48:32;Måsøy kommune;http://www.masoy.kommune.no/;59;93;63;4;16;28;22;30;21;35
15650;09/14/2011 13:52:34;Namdalseid kommune;http://www.namdalseid.kommune.no/;56;93;60;4;16;28;19;30;21;35
15649;09/14/2011 13:52:19;Namsos kommune;http://www.namsos.kommune.no;64;93;69;4;19;28;17;30;28;35
16285;10/03/2011 21:33:26;Namsskogan kommune;http://www.namsskogan.kommune.no/;45;93;48;3;9;28;11;30;25;35
15527;09/09/2011 08:49:11;Nannestad kommune;http://www.nannestad.kommune.no/;60;93;65;4;16;28;20;30;24;35
16295;10/04/2011 10:45:51;Narvik kommune;http://www.narvik.kommune.no/;60;93;65;4;22;28;16;30;22;35
16545;10/11/2011 09:48:33;Nasjonal sikkerhetsmyndighet;http://www.nsm.stat.no/;44;93;47;3;17;28;17;30;10;35
16548;10/11/2011 12:16:22;Nasjonalt folkehelseinstitutt;http://www.fhi.no/;52;93;56;3;14;28;21;30;17;35
16296;10/04/2011 12:50:20;Naustdal kommune;http://www.naustdal.kommune.no;68;93;73;5;23;28;18;30;27;35
16297;10/04/2011 13:59:27;Nedre Eiker kommune;http://www.nedre-eiker.kommune.no/;65;93;70;5;24;28;20;30;21;35
15526;09/09/2011 08:48:34;Nes kommune (Akershus);http://www.nes-ak.kommune.no/;61;93;66;4;13;28;21;30;27;35
15496;09/07/2011 13:52:06;Nes kommune (Buskerud);http://www.nes-bu.kommune.no;53;93;57;3;15;28;16;30;22;35
16300;10/04/2011 17:38:25;Nesna kommune;http://www.nesna.kommune.no/;59;93;63;4;17;28;20;30;22;35
16305;10/05/2011 09:15:37;Nesodden kommune;http://www.nesodden.kommune.no/;74;93;80;6;22;28;22;30;30;35
16306;10/05/2011 10:57:06;Nesseby kommune - Unjárgga gielda;http://www.nesseby.kommune.no/;52;93;56;3;19;28;22;30;11;35
16867;10/20/2011 12:12:45;Nesset kommune;http://www.nesset.kommune.no;76;93;82;6;23;28;21;30;32;35
16619;10/13/2011 13:48:31;NGU - Norges geologiske undersøkelse;http://www.ngu.no;60;93;65;4;18;28;25;30;17;35
16558;10/11/2011 16:53:45;NIBR - Norsk institutt for by- og regionforskning;http://www.nibr.no/;65;93;70;5;19;28;24;30;22;35
16768;10/17/2011 21:29:30;NIFU - Norsk institutt for studier av forskning og utdanning;http://www.nifu.no/;31;93;33;2;5;28;11;30;15;35
