byggnr,dato,aapent_fra,aapent_til,kommentar
1,2016-07-02,00:00,00:00,lørdag
1,2016-07-03,00:00,00:00,søndag
1,2016-07-04,07:40,15:30,
1,2016-07-05,07:40,15:30,
1,2016-07-06,07:40,15:30,
1,2016-07-07,07:40,15:30,
1,2016-07-08,07:40,15:30,
1,2016-07-09,00:00,00:00,lørdag
1,2016-07-10,00:00,00:00,søndag
1,2016-07-11,07:40,15:30,
1,2016-07-12,07:40,15:30,
1,2016-07-13,07:40,15:30,
1,2016-07-14,07:40,15:30,
1,2016-07-15,07:40,15:30,
1,2016-07-16,00:00,00:00,lørdag
1,2016-07-17,00:00,00:00,søndag
1,2016-07-18,07:40,15:30,
1,2016-07-19,07:40,15:30,
1,2016-07-20,07:40,15:30,
1,2016-07-21,07:40,15:30,
1,2016-07-22,07:40,15:30,
1,2016-07-23,00:00,00:00,lørdag
1,2016-07-24,00:00,00:00,søndag
1,2016-07-25,07:40,15:30,
1,2016-07-26,07:40,15:30,
1,2016-07-27,07:40,15:30,
1,2016-07-28,07:40,15:30,
1,2016-07-29,07:40,15:30,
1,2016-07-30,00:00,00:00,lørdag
1,2016-07-31,00:00,00:00,søndag
1,2016-08-01,07:40,15:30,
1,2016-08-02,07:40,15:30,
1,2016-08-03,07:40,15:30,
1,2016-08-04,07:40,15:30,
1,2016-08-05,07:40,15:30,
1,2016-08-06,00:00,00:00,lørdag
1,2016-08-07,00:00,00:00,søndag
1,2016-08-08,07:40,15:30,
1,2016-08-09,07:40,15:30,
1,2016-08-10,07:40,15:30,
1,2016-08-11,07:40,15:30,
1,2016-08-12,07:40,15:30,
1,2016-08-13,00:00,00:00,lørdag
1,2016-08-14,00:00,00:00,søndag
1,2016-08-15,07:40,15:30,
1,2016-08-16,07:40,15:30,
1,2016-08-17,07:40,15:30,
1,2016-08-18,07:40,15:30,
1,2016-08-19,07:40,15:30,
1,2016-08-20,00:00,00:00,lørdag
1,2016-08-21,00:00,00:00,søndag
1,2016-08-22,07:40,15:30,
1,2016-08-23,07:40,15:30,
1,2016-08-24,07:40,15:30,
1,2016-08-25,07:40,15:30,
1,2016-08-26,07:40,15:30,
1,2016-08-27,00:00,00:00,lørdag
1,2016-08-28,00:00,00:00,søndag
1,2016-08-29,07:40,15:30,
1,2016-08-30,07:40,15:30,
1,2016-08-31,07:40,15:30,
1,2016-09-01,07:40,15:30,
1,2016-09-02,07:40,15:30,
1,2016-09-03,00:00,00:00,lørdag
1,2016-09-04,00:00,00:00,søndag
1,2016-09-05,07:40,15:30,
1,2016-09-06,07:40,15:30,
1,2016-09-07,07:40,15:30,
1,2016-09-08,07:40,15:30,
1,2016-09-09,07:40,15:30,
1,2016-09-10,00:00,00:00,lørdag
1,2016-09-11,00:00,00:00,søndag
1,2016-09-12,07:40,15:30,
1,2016-09-13,07:40,15:30,
1,2016-09-14,07:40,15:30,
1,2016-09-15,07:40,15:30,
1,2016-09-16,07:40,15:30,
1,2016-09-17,00:00,00:00,lørdag
1,2016-09-18,00:00,00:00,søndag
1,2016-09-19,07:40,15:30,
1,2016-09-20,07:40,15:30,
1,2016-09-21,07:40,15:30,
1,2016-09-22,07:40,15:30,
1,2016-09-23,07:40,15:30,
1,2016-09-24,00:00,00:00,lørdag
1,2016-09-25,00:00,00:00,søndag
1,2016-09-26,07:40,15:30,
1,2016-09-27,07:40,15:30,
1,2016-09-28,07:40,15:30,
1,2016-09-29,07:40,15:30,
1,2016-09-30,07:40,15:30,
1,2016-10-01,00:00,00:00,lørdag
1,2016-10-02,00:00,00:00,søndag
1,2016-10-03,07:40,15:30,
1,2016-10-04,07:40,15:30,
1,2016-10-05,07:40,15:30,
1,2016-10-06,07:40,15:30,
1,2016-10-07,07:40,15:30,
1,2016-10-08,00:00,00:00,lørdag
1,2016-10-09,00:00,00:00,søndag
1,2016-10-10,07:40,15:30,
1,2016-10-11,07:40,15:30,
1,2016-10-12,07:40,15:30,
1,2016-10-13,07:40,15:30,
1,2016-10-14,07:40,15:30,
1,2016-10-15,00:00,00:00,lørdag
1,2016-10-16,00:00,00:00,søndag
1,2016-10-17,07:40,15:30,
1,2016-10-18,07:40,15:30,
1,2016-10-19,07:40,15:30,
1,2016-10-20,07:40,15:30,
1,2016-10-21,07:40,15:30,
1,2016-10-22,00:00,00:00,lørdag
1,2016-10-23,00:00,00:00,søndag
1,2016-10-24,07:40,15:30,
1,2016-10-25,07:40,15:30,
1,2016-10-26,07:40,15:30,
1,2016-10-27,07:40,15:30,
1,2016-10-28,07:40,15:30,
1,2016-10-29,00:00,00:00,lørdag
1,2016-10-30,00:00,00:00,søndag
1,2016-10-31,07:40,15:30,
1,2016-11-01,07:40,15:30,
1,2016-11-02,07:40,15:30,
1,2016-11-03,07:40,15:30,
1,2016-11-04,07:40,15:30,
1,2016-11-05,00:00,00:00,lørdag
1,2016-11-06,00:00,00:00,søndag
1,2016-11-07,07:40,15:30,
1,2016-11-08,07:40,15:30,
1,2016-11-09,07:40,15:30,
1,2016-11-10,07:40,15:30,
1,2016-11-11,07:40,15:30,
1,2016-11-12,00:00,00:00,lørdag
1,2016-11-13,00:00,00:00,søndag
